,course_type,course_name,course_link,uni_name,uni_city,scholarship_avail,course_cost,lang_of_instr,lang_level,semester_beginning,online_course
34,Short course and language course,FOKuS — Studienstart Deutsch | Preparatory Semester for International Prospective Students,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5338/,Ulm University ,Ulm,,EUR 170,German,"German: B2, C1","November, 2020 - March, 2021, April - July, 2021 (Registration Deadline January 15, 2021), October, 2021 - February, 2022 (Registration Deadline July 15, 2021)",0
35,Short course and language course,FU-BEST Freie Universität Berlin European Studies Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6288/,Freie Universität Berlin ,Berlin,,EUR 9050,"German, English","German: A1, A2, B1, B2, C1, C2English: B2, C1","February 01 - May 21, 2021 (Registration Deadline November 01, 2020), August 23 - December 10, 2021 (Registration Deadline April 01, 2021)",0
36,Language course,German as a Foreign Language,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4949/,University of Passau ,Passau,available,EUR 1109,German,"German: A1, A2, B1, B2, C1","August 11 - September 07, 2021",0
37,Language course,German as an Academic Language,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7048/,Martin Luther University Halle-Wittenberg ,Halle (Saale),available,EUR 680,German,"German: B2, C1, C2","August 08 - September 02, 2021 (Registration Deadline July 09, 2021), September 05 - September 30, 2021 (Registration Deadline August 06, 2021), March 06 - March 31, 2022 (Registration Deadline February 04, 2022)",0
38,Language course,German for Business and Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6191/,University of Freiburg ,Freiburg im Breisgau,available,EUR 800,German,"German: B2, C1","August 02 - August 28, 2021 (Registration Deadline June 30, 2021), September 02 - September 29, 2021 (Registration Deadline July 31, 2021)",0
39,Language course,German for Legal Professions,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6338/,Internationale Hochschule SDI München/International University SDI München ,München,available,EUR 660,German,"German: C1, B2","July 05 - July 30, 2021 (Registration Deadline June 13, 2021), August 02 - August 27, 2021 (Registration Deadline June 13, 2021)",0
40,Language course,German for Medical Professions,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6291/,Internationale Hochschule SDI München/International University SDI München ,München,available,EUR 660,German,"German: C1, B2","July 05 - July 30, 2021 (Registration Deadline June 13, 2021), August 02 - August 27, 2021 (Registration Deadline June 13, 2021)",0
41,Language course,German for Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7064/,Martin Luther University Halle-Wittenberg ,Lutherstadt Wittenberg,available,EUR 680,German,"German: C2, B2, C1","February 28 - March 25, 2021 (Registration Deadline February 05, 2021), July 04 - July 29, 2021 (Registration Deadline May 28, 2021), September 05 - September 30, 2021 (Registration Deadline August 06, 2021), March 06 - March 31, 2022 (Registration Deadline February 04, 2022)",0
42,Language course,German for Natural Sciences and Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6193/,University of Freiburg ,Freiburg im Breisgau,available,EUR 800,German,"German: B2, C1","August 02 - August 28, 2021 (Registration Deadline June 30, 2021), September 02 - September 29, 2021 (Registration Deadline July 31, 2021)",0
43,Language course,"German for Science, Engineering, Planning, Building and Environment",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5043/,Technische Universität Berlin ,Berlin,available,EUR 760,German,"German: A1, A2, B1, B2, C1","August 04 - August 27, 2021 (Registration Deadline June 20, 2021)",0
44,Language course,German for the Tourism Industry,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6192/,University of Freiburg ,Freiburg im Breisgau,available,EUR 800,German,"German: B2, C1","August 02 - August 28, 2021 (Registration Deadline June 30, 2021)",0
45,Language course,German for University Studies - Prep Course for a Semester Abroad,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4946/,Kiel University ,Kiel,,EUR 600,German,"German: A1, A2, B1","September 01 - September 29, 2021 (Registration Deadline July 08, 2021)",0
46,Language course,German in the City,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4975/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 870 - 920,German,"German: B1, B2, C1, C2","June 14 - July 09, 2021 (Registration Deadline May 15, 2021), November 22 - December 17, 2021 (Registration Deadline November 15, 2021)",0
47,Language course,German in the Region of Porsche and Schiller,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4962/,University of Hohenheim ,Stuttgart,available,EUR 620,German,"German: A1, A2, B1, B2, C1","August 02 - August 25, 2021 (Registration Deadline June 13, 2021)",0
48,Language course,German Intensive A1.2-C2: Winter in Berlin (Module II),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4932/,Humboldt-Universität zu Berlin ,Berlin,,EUR 550,German,"German: A1, A2, B1, B2, C1, C2","February 01 - February 19, 2021 (Registration Deadline December 15, 2020)",0
49,Language course,German Intensive A1.2: Summer in Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5095/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,German: A1,"June 21 - July 16, 2021 (Registration Deadline May 15, 2021), July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
50,Language course,German Intensive A1.2: Winter in Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5093/,Humboldt-Universität zu Berlin ,Berlin,,EUR 650,German,German: A1,"January 11 - January 29, 2021 (Registration Deadline December 15, 2020)",0
51,Language course,German Intensive A2: Summer in Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5047/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,German: A2,"June 21 - July 16, 2021 (Registration Deadline May 15, 2021), July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
52,Language course,German Intensive A2: Winter in Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5070/,Humboldt-Universität zu Berlin ,Berlin,,EUR 650,German,German: A2,"January 11 - January 29, 2021 (Registration Deadline December 15, 2020)",0
53,Language course,German Intensive B1-B2: German Culture and Area Studies (Summer),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4989/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,"German: B1, B2","June 21 - July 16, 2021 (Registration Deadline May 15, 2021), July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
54,Language course,German Intensive B1-B2: German Culture and Area Studies (Winter),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5072/,Humboldt-Universität zu Berlin ,Berlin,,EUR 650,German,"German: B1, B2","January 11 - January 29, 2021 (Registration Deadline December 15, 2020)",0
55,Language course,German Intensive B1-B2: Zoom on Berlin (Winter),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5366/,Humboldt-Universität zu Berlin ,Berlin,,EUR 650,German,"German: B1, B2","January 11 - January 29, 2021 (Registration Deadline December 15, 2020)",0
56,Language course,German Intensive B1: Aha! Berlin - Perspectives (Summer),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5371/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,German: B1,"July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
57,Language course,German Intensive B1: Summer in Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5370/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,German: B1,"June 21 - July 16, 2021 (Registration Deadline May 15, 2021)",0
58,Language course,German Intensive B2-C1: Germany in Moving Pictures (Summer),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4931/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,"German: B2, C1","July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
59,Language course,German Intensive B2: Zoom on Berlin (Summer),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4933/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,German: B2,"June 21 - July 16, 2021 (Registration Deadline May 15, 2021), July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
60,Language course,"German Intensive C1-C2: Nanu, die Deutschen (Summer)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5012/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,"German: C1, C2","June 21 - July 16, 2021 (Registration Deadline May 15, 2021), July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
61,Language course,"German Intensive C1-C2: Nanu, die Deutschen (Winter)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5073/,Humboldt-Universität zu Berlin ,Berlin,,EUR 650,German,"German: C1, C2","January 11 - January 29, 2021 (Registration Deadline December 15, 2020)",0
62,Language course,German Intensive C1: Berlin Artist Life - Yesterday and Today,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5372/,Humboldt-Universität zu Berlin ,Berlin,available,EUR 850,German,German: C1,"July 19 - August 13, 2021 (Registration Deadline June 15, 2021)",0
63,Language course,German Intensive Language Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7084/,Leipzig University ,Leipzig,,EUR 1575,German,"German: A2, B1, A1","June 01 - July 30, 2021 (Registration Deadline May 18, 2021), August 02 - September 30, 2021 (Registration Deadline July 19, 2021)",0
64,Language course,German Language and Culture in July,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6198/,University of Freiburg ,Freiburg im Breisgau,available,EUR 800,German,"German: B1, B2, C1","July 01 - July 23, 2021 (Registration Deadline June 15, 2021)",0
65,Language course,"German Language and Culture in March, August and September",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6187/,University of Freiburg ,Freiburg im Breisgau,available,EUR 800,German,"German: A1, A2, B1, B2, C1","March 01 - March 26, 2021 (Registration Deadline January 31, 2021), August 02 - August 28, 2021 (Registration Deadline June 30, 2021), September 02 - September 29, 2021 (Registration Deadline July 31, 2021)",0
66,Language course,German Language Summer Course in Würzburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6271/,Julius-Maximilians-Universität Würzburg ,Würzburg,available,EUR 648,German,"German: A1, A2, B1, B2, C1","August 02 - August 29, 2021 (Registration Deadline June 21, 2021)",0
67,Language course,German Language Winter Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5137/,Philipps-Universität Marburg ,Marburg,,EUR 900,German,"German: A1, A2, B1, B2, C1, C2","January 02 - February 19, 2021 (Registration Deadline November 30, 2020)",0
68,Language course,"German Language, Culture and Regional Studies",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4900/,Bremen University of Applied Sciences ,Bremen,available,EUR 800,German,"German: A1, A2, B1, B2, C1, C2","July 04 - July 29, 2021 (Registration Deadline April 01, 2021)",0
69,Language course,"German Language: Learn the Language, Understand the Culture, See Berlin!",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4928/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,,EUR 690,German,"German: A1, A2","July 04 - July 24, 2021 (Registration Deadline April 01, 2021)",0
70,Language course,German Summer Courses in Munich – Language and Culture,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7012/,Internationale Hochschule SDI München/International University SDI München ,München,available,EUR 480 - 880,German,"German: A1, A2, B1, B2, C1","July 05 - July 30, 2021 (Registration Deadline June 13, 2021), July 05 - August 27, 2021 (Registration Deadline June 13, 2021), August 02 - August 27, 2021 (Registration Deadline June 13, 2021)",0
71,Language course,German Teacher Training,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6197/,University of Freiburg ,Freiburg im Breisgau,available,EUR 800,German,"German: C1, C2","August 02 - August 28, 2021 (Registration Deadline June 30, 2021)",0
72,Short course and language course,German Technical Terminology for Russian Interpreters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7085/,Internationale Hochschule SDI München/International University SDI München ,München,available,EUR 650,"German, Russian","German: B2, C1, C2","September 01 - September 28, 2021 (Registration Deadline July 18, 2021)",0
73,Language course,German+ Sustainability (B1–C1),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7091/,Martin Luther University Halle-Wittenberg ,Lutherstadt Wittenberg,available,EUR 680,German,"German: B1, B2, C1","February 28 - March 25, 2021 (Registration Deadline January 29, 2021), July 04 - July 29, 2021 (Registration Deadline June 04, 2021), September 05 - September 30, 2021 (Registration Deadline August 06, 2021)",0
74,Language course,Get Ready for Your Study Abroad,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4929/,Martin Luther University Halle-Wittenberg ,Halle (Saale),available,EUR 680,German,"German: B2, C1, A2, B1, A1","September 05 - September 30, 2021 (Registration Deadline August 06, 2021), March 06 - March 31, 2022 (Registration Deadline February 04, 2022)",0
75,Language course,Goettingen Online Intensive,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7096/,University of Göttingen ,Göttingen,,EUR 680,German,"German: B2, C1, A2, B1, A1","September 05 - September 30, 2021 (Registration Deadline August 06, 2021), March 06 - March 31, 2022 (Registration Deadline February 04, 2022)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
76,Short course and language course,Hessen International Summer University Marburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4890/,Philipps-Universität Marburg ,Marburg,,EUR 2100,"German, English","German: A1, A2, B1, B2, C1, C2English: B2","July 17 - August 14, 2021 (Registration Deadline June 15, 2021)",0
77,Short course and language course,Hessen:International Summer University (ISU) – German Engineering and Language,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7093/,TU Darmstadt ,Darmstadt,,EUR 2500,"German, English","German: A1, A2, B1English: A1, A2, B1, B2, C1, C2","July 04 - July 31, 2021",0
78,Short course and language course,In Transition to a Pure Green Energy Economy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5049/,Hochschule Darmstadt University of Applied Sciences ,Darmstadt,,EUR 1990,English,"English: B2, C1, C2, B1","June 13 - July 10, 2021 (Registration Deadline April 30, 2021)",0
79,Language course,Intensive Course for Advanced Learners (Level B1 and B2),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4967/,Leibniz Universität Hannover ,Hannover,available,EUR 620,German,"German: B1, B2","July 05 - July 29, 2021 (Registration Deadline May 01, 2021), August 05 - August 31, 2021 (Registration Deadline June 01, 2021)",0
80,Language course,Intensive Course German as a Foreign Language,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4939/,Offenburg University of Applied Sciences ,Offenburg,available,EUR 520,German,"German: A1, A2, B1, B2, C1","September 06 - October 01, 2021 (Registration Deadline July 15, 2021)",0
81,Language course,Intensive Course Interpretation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5497/,Johannes Gutenberg University Mainz ,Germersheim,available,EUR 690,German,"German: C1, C2","July 26 - August 18, 2021 (Registration Deadline June 27, 2021)",0
82,Language course,Intensive German Course - Aachener Sprachsommer 2021,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4955/,FH Aachen University of Applied Sciences ,Aachen,available,EUR 530,German,"German: A1, A2, B1, B2, C1","July 05 - July 30, 2021 (Registration Deadline May 31, 2021), August 02 - August 27, 2021 (Registration Deadline June 30, 2021)",0
83,Language course,Intensive German Course for Beginners (only level A2),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4966/,Leibniz Universität Hannover ,Hannover,available,EUR 620,German,German: A2,"August 05 - August 31, 2021 (Registration Deadline June 01, 2021)",0
84,Language course,Intensive German Language and Culture Course at Five Levels,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4999/,Freie Universität Berlin ,Berlin,,EUR 1650,German,"German: A1, A2, B1, B2, C1, C2","July 17 - August 14, 2021 (Registration Deadline June 19, 2021)",0
85,Language course,Intensive German Language and Culture Course at Five Levels,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5000/,Freie Universität Berlin ,Berlin,,EUR 2475,German,"German: A1, A2, B1, B2, C1, C2","May 29 - July 10, 2021 (Registration Deadline May 01, 2021)",0
86,Language course,Intensive German Language Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6279/,Ludwig-Maximilians-Universität München ,München,available,EUR 550,German,"German: A1, A2, B1, B2, C1","February 03 - March 01, 2021 (Registration Deadline December 15, 2020), March 08 - March 31, 2021 (Registration Deadline December 15, 2020), July 08 - August 03, 2021 (Registration Deadline June 24, 2021), August 04 - August 27, 2021 (Registration Deadline June 24, 2021), September 06 - September 29, 2021 (Registration Deadline August 23, 2021)",0
87,Language course,Intensive Language Course Advanced German C2,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4992/,Martin Luther University Halle-Wittenberg ,Lutherstadt Wittenberg,available,EUR 680,German,German: C2,"July 04 - July 29, 2021 (Registration Deadline June 04, 2021)",0
88,Short course and language course,International & European Studies: Summer School on European Politics and Human Rights,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5061/,University of Tübingen ,Tübingen,,EUR 2000,"German, English","German: A1, A2, B1, B2English: B2, C1, C2","June 07 - July 02, 2021 (Registration Deadline March 31, 2021)",0
89,Short course and language course,"International & European Studies: Summer School on European Politics, History, and Economy",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6326/,University of Tübingen ,Tübingen,,EUR 2800,"German, English","German: A1, A2, B1, B2English: B2, C1, C2","July 12 - August 20, 2021 (Registration Deadline April 30, 2021)",0
90,Short course and language course,International & European Studies: Winter School on European Politics and Economy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5103/,University of Tübingen ,Tübingen,,EUR 2000,"German, English","German: A1, A2, B1, B2English: B2, C1, C2","January 04 - January 29, 2021 (Registration Deadline September 30, 2020)",0
91,Language course,International German Summer Course A2,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5421/,Bielefeld University ,Bielefeld,available,EUR 640,German,German: A2,"August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
92,Language course,International German Summer Course B1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5059/,Bielefeld University ,Bielefeld,available,EUR 640,German,German: B1,"August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
93,Language course,International German Summer Course B2/C1 + Language Project Academic German,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5090/,Bielefeld University ,Bielefeld,available,EUR 640,German,"German: B2, C1","August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
94,Language course,International German Summer Course B2/C1 + Language Project Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5086/,Bielefeld University ,Bielefeld,available,EUR 640,German,"German: B2, C1","August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
95,Language course,International German Summer Course B2/C1 + Language Project Law,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5087/,Bielefeld University ,Bielefeld,available,EUR 640,German,"German: B2, C1","August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
96,Language course,International German Summer Course B2/C1 + Language Project Mechatronics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5088/,Bielefeld University ,Bielefeld,available,EUR 640,German,"German: B2, C1","August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
97,Language course,International German Summer Course B2/C1 + Language Project Society and Politics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5089/,Bielefeld University ,Bielefeld,available,EUR 640,German,"German: B2, C1","August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
98,Language course,International German Summer Course TestDaF (Training and Examination),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5121/,Bielefeld University ,Bielefeld,available,EUR 835,German,German: C1,"August 06 - September 01, 2021 (Registration Deadline June 30, 2021)",0
99,Short course and language course,International Marketing and Sales,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5138/,Hochschule Darmstadt University of Applied Sciences ,Darmstadt,,EUR 1990,English,"English: B2, C1, C2, B1","December 29, 2020 - January 16, 2021 (Registration Deadline November 15, 2020)",0
100,Language course,International Spring Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5044/,Justus Liebig University Giessen ,Gießen,,EUR 570,German,"German: A1, A2, B1, B2, C1","March 04 - March 26, 2021 (Registration Deadline January 15, 2021)",0
101,Language course,International Summer Academy – Intensive Course for German Language and Culture,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4983/,University of Mannheim ,Mannheim,available,EUR 685,German,"German: A1, A2, B1, B2, C1, C2","August 02 - August 30, 2021 (Registration Deadline June 15, 2021)",0
102,Language course,International Summer Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4899/,University of Tübingen ,Tübingen,available,EUR 660,German,"German: A2, B1, B2, C1","August 02 - August 28, 2021 (Registration Deadline June 30, 2021)",0
103,Language course,International Summer Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4902/,Justus Liebig University Giessen ,Gießen,available,EUR 770,German,"German: A1, A2, B1, B2, C1, C2","August 26 - September 24, 2021 (Registration Deadline July 15, 2021)",0
104,Language course,International Summer Course for German Language and Culture,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4894/,University of Münster ,Münster,available,EUR 530,German,"German: A2, B1, B2, C1","August 04 - August 27, 2021 (Registration Deadline June 18, 2021)",0
105,Language course,International Summer Course: German for Economists,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5037/,University of Münster ,Münster,available,EUR 670,German,"German: B2, C1","August 04 - August 27, 2021 (Registration Deadline June 18, 2021)",0
106,Language course,International Summer Course: German for Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5034/,University of Münster ,Münster,available,EUR 670,German,"German: B2, C1","August 04 - August 27, 2021 (Registration Deadline June 18, 2021)",0
107,Language course,International Summer Course: German Language for Lawyers,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4963/,University of Münster ,Münster,available,EUR 670,German,"German: B2, C1","August 04 - August 27, 2021 (Registration Deadline June 18, 2021)",0
108,Language course,International Summer Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4901/,University of Augsburg ,Augsburg,available,EUR 380,German,"German: B2, C1, C2","July 26 - August 20, 2021 (Registration Deadline May 31, 2021)",0
109,Language course,International Summer School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7018/,Hamburg University of Technology ,Hamburg,available,EUR 675,German,"German: A2, B1, B2, C1","July 05 - July 30, 2021, August 03 - August 30, 2021",0
110,Language course,International Summer School - German as a Foreign Language - in Magdeburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4968/,Otto von Guericke University Magdeburg ,Magdeburg,available,EUR 525,German,"German: B1, B2, C1","August 09 - August 27, 2021 (Registration Deadline July 01, 2021)",0
