,course_type,course_name,course_link,uni_name,uni_city,scholarship_avail,course_cost,lang_of_instr,lang_level,semester_beginning,online_course
132,Language course,MISU at LMU: German Class and Study Preparation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4927/,Ludwig-Maximilians-Universität München ,München,,EUR 850,German,"German: A1, A2, B1, B2, C1, C2","March 03 - March 30, 2021 (Registration Deadline February 01, 2021), September 03 - September 29, 2021 (Registration Deadline August 01, 2021)",0
133,Language course,MISU at LMU: Summer German Language Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4897/,Ludwig-Maximilians-Universität München ,München,available,EUR 1070,German,"German: A1, A2, B1, B2, C1","August 03 - August 28, 2021 (Registration Deadline June 01, 2021)",0
134,Short course and language course,Music and Musical Life in Germany,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4908/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: B1, B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
135,Language course,"Online Course: German Language and Culture –Semi-Intensive German Language, on different levels: A1, A2, B1",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7132/,Freie Universität Berlin ,Berlin,,Price only on request,German,"German: B1, B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
136,Language course,Preparation for the TestDaF Exam,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4911/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
137,Language course,Prepare for University – Intensive German A2-C1 TestDaF / telc C1 Hochschule,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5432/,Martin Luther University Halle-Wittenberg ,Halle (Saale),,EUR 1220,German,"German: A2, B1, B2, C1","September 07 - November 06, 2020 (Registration Deadline August 28, 2020), November 16, 2020 - February 05, 2021 (Registration Deadline November 06, 2020), June 06 - August 14, 2021 (Registration Deadline May 07, 2021)",0
138,Language course,Seaside Summer Classes in German - Learn German at the Coast 2021,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5272/,Jade University of Applied Sciences Wilhelmshaven/Oldenburg/Elsfleth ,Wilhelmshaven,available,EUR 580,German,"German: A1, A2, B1, B2, C1, C2","July 27 - August 19, 2021 (Registration Deadline June 15, 2021)",0
139,Language course,Semi-Intensive German Language and Culture Course at Five Levels,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4938/,Freie Universität Berlin ,Berlin,,EUR 1650,German,"German: A1, A2, B1, B2, C1, C2","May 29 - July 10, 2021 (Registration Deadline May 01, 2021)",0
140,Language course,Semi-Intensive German Language and Culture Course at Five Levels,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4998/,Freie Universität Berlin ,Berlin,,EUR 1100,German,"German: A1, A2, B1, B2, C1, C2","July 17 - August 14, 2021 (Registration Deadline June 19, 2021)",0
141,Language course,Semi-Intensive German Language and Culture Course at Five Levels,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5035/,Freie Universität Berlin ,Berlin,,EUR 1100,German,"German: A1, A2, B1, B2, C1, C2","January 04 - January 27, 2021 (Registration Deadline December 07, 2020)",0
142,Language course,Special Course in Business German,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4893/,Universität Heidelberg ,Heidelberg,available,EUR 670,German,"German: B2, C1, C2","July 29 - August 25, 2021 (Registration Deadline June 15, 2021)",0
143,Language course,Spring Course: Communication in Everyday and Academic Life,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4925/,University of Göttingen ,Göttingen,,EUR 499,German,"German: A2, B1, B2, C1","March 03 - March 26, 2021 (Registration Deadline January 31, 2021)",0
144,Language course,"Study in Germany, DSH/TestDaF Preparation",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4969/,Leibniz Universität Hannover ,Hannover,available,EUR 620,German,"German: B2, C1","August 05 - August 31, 2021 (Registration Deadline June 01, 2021)",0
145,Language course,Summer Academy – German as a Foreign Language in Theory and Practice,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4895/,Leipzig University ,Leipzig,available,EUR 950,German,"German: B2, C1, C2","July 05 - July 30, 2021 (Registration Deadline June 06, 2021)",0
146,Language course,Summer Course: Learn German at University in Charming Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4904/,University of Göttingen ,Göttingen,available,EUR 675,German,"German: A1, A2, B1, B2, C1","August 02 - August 28, 2021 (Registration Deadline June 11, 2021)",0
