Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,2001/2002,403,361,82,91,59,26
,2002/2003,357,316,99,80,54,23
,2003/2004,385,379,101,96,52,24
,2004/2005,335,318,87,98,56,23
,2005/2006,319,340,78,97,55,23
,2006/2007,298,285,84,105,57,24
,2007/2008,246,230,69,88,59,21
,2008/2009,266,278,69,95,50,18
,2009/2010,284,296,65,105,51,17
,2010/2011,295,300,69,125,58,24
,2011/2012,296,313,92,147,43,18
,2012/2013,302,321,79,155,43,14
,2013/2014,281,353,85,170,46,26
,2014/2015,289,386,91,155,46,16
,2015/2016,267,387,70,220,45,24
,2016/2017,266,444,74,232,38,18
,2017/2018,247,399,57,210,37,16
,2018/2019,233,403,61,175,42,20
,2019/2020,223,306,63,179,41,17
    Frankreich,1998/1999,2891,1819,455,841,84,56
,1999/2000,2778,1853,489,918,100,66
,2000/2001,2703,1881,544,962,93,63
,2001/2002,2565,2068,573,974,104,72
,2002/2003,2503,2065,584,911,108,74
,2003/2004,2500,2156,593,968,124,90
,2004/2005,2209,2193,592,1068,141,87
,2005/2006,2047,2137,608,1055,134,93
,2006/2007,2031,2122,579,1021,144,85
,2007/2008,1834,1845,572,1005,143,77
,2008/2009,1837,2205,569,1109,160,108
,2009/2010,1921,2321,552,1155,148,109
,2010/2011,2060,2229,571,1264,173,97
,2011/2012,2060,2371,584,1220,197,107
,2012/2013,2248,2556,635,1276,174,111
,2013/2014,2238,2725,654,1349,256,120
,2014/2015,2383,2820,717,1437,879,137
,2015/2016,2310,3058,540,1705,702,138
,2016/2017,2264,3075,579,1732,736,153
,2017/2018,2199,3312,592,1671,478,156
,2018/2019,2189,3168,614,1651,498,158
,2019/2020,2156,3069,636,1584,498,161
    Griechenland,1998/1999,2494,2308,998,1075,868,57
,1999/2000,2382,2334,1007,1065,859,61
,2000/2001,2294,2302,995,1041,830,54
,2001/2002,2247,2297,1014,1028,820,45
,2002/2003,2132,2261,1030,1037,751,43
,2003/2004,2061,2183,1045,1029,673,52
,2004/2005,1646,1919,945,951,603,51
,2005/2006,1588,1759,884,1008,561,50
,2006/2007,1557,1711,832,980,516,47
,2007/2008,1367,1612,792,956,446,45
,2008/2009,1340,1585,810,973,427,47
,2009/2010,1378,1602,838,1015,427,47
,2010/2011,1436,1588,873,1108,414,54
,2011/2012,1535,1671,977,1259,439,50
,2012/2013,1696,1769,1127,1410,469,62
,2013/2014,1868,1884,1293,1483,469,75
,2014/2015,1912,2022,1398,1494,477,83
,2015/2016,1575,2443,914,2030,505,73
,2016/2017,1593,2528,990,2027,511,76
,2017/2018,1589,2614,977,1956,522,76
,2018/2019,1554,2580,1022,1905,533,68
,2019/2020,1511,2523,985,1793,548,70
    Irland,1998/1999,251,240,31,23,12,2
,1999/2000,267,214,54,24,11,3
,2000/2001,229,213,54,26,9,5
,2001/2002,231,207,52,17,8,3
,2002/2003,189,214,63,25,11,4
,2003/2004,196,199,59,18,6,1
,2004/2005,162,174,40,18,12,2
,2005/2006,181,177,41,26,8,2
,2006/2007,166,164,34,34,10,5
,2007/2008,144,137,37,25,7,3
,2008/2009,157,163,30,24,8,4
,2009/2010,146,159,30,24,7,3
,2010/2011,163,170,31,29,11,5
,2011/2012,200,178,38,40,13,6
,2012/2013,202,165,43,37,13,6
,2013/2014,207,187,61,32,19,6
,2014/2015,229,214,62,33,17,4
,2015/2016,230,230,53,67,18,6
,2016/2017,249,261,52,81,25,5
,2017/2018,222,269,81,102,26,9
,2018/2019,232,262,86,97,27,9
,2019/2020,236,278,84,103,31,9
    Italien,1998/1999,2954,1671,619,901,148,70
,1999/2000,2935,1758,690,932,161,71
,2000/2001,3033,1736,790,972,154,86
,2001/2002,3004,1773,839,993,194,76
,2002/2003,3042,1802,921,1038,197,74
,2003/2004,3048,1866,972,1007,216,74
,2004/2005,2878,1723,927,975,237,70
,2005/2006,2836,1690,910,943,251,71
,2006/2007,2842,1624,895,919,260,74
,2007/2008,2744,1631,865,924,262,86
,2008/2009,2764,1869,880,978,287,85
,2009/2010,3035,1965,965,1094,310,100
,2010/2011,3320,2015,1117,1258,338,106
,2011/2012,3554,2202,1299,1365,384,126
,2012/2013,3834,2491,1483,1543,431,152
,2013/2014,4029,2813,1727,1691,499,157
,2014/2015,4449,3111,1967,1876,597,206
,2015/2016,4301,3883,1526,2637,690,219
,2016/2017,4452,4137,1685,2760,782,222
,2017/2018,4466,4514,1708,2791,770,236
,2018/2019,4499,4735,1758,2855,834,241
,2019/2020,4456,4861,1743,2832,816,267
    Kroatien,1998/1999,949,1551,476,895,155,34
,1999/2000,1006,1702,539,933,159,35
,2000/2001,1083,1784,635,913,160,39
,2001/2002,1113,1820,667,919,175,40
,2002/2003,1134,1818,671,911,159,37
,2003/2004,1158,1798,708,940,159,32
,2004/2005,1103,1709,647,905,155,37
,2005/2006,1116,1615,643,867,138,35
,2006/2007,1031,1548,619,808,140,40
,2007/2008,977,1479,574,771,139,35
,2008/2009,995,1515,561,774,134,31
,2009/2010,982,1531,585,843,133,35
,2010/2011,1003,1454,607,868,133,37
,2011/2012,983,1497,652,887,139,39
,2012/2013,1037,1523,696,900,149,40
,2013/2014,1076,1617,735,977,170,51
,2014/2015,1092,1615,769,977,180,44
,2015/2016,851,1883,474,1297,200,48
,2016/2017,826,1840,486,1345,210,39
,2017/2018,806,1834,458,1319,221,48
,2018/2019,790,1855,465,1272,225,46
,2019/2020,759,1872,447,1265,231,46
    Lettland,1998/1999,180,128,28,14,18,9
,1999/2000,267,150,48,20,19,10
,2000/2001,277,212,61,25,15,10
,2001/2002,315,296,69,44,17,8
,2002/2003,330,353,89,47,18,2
,2003/2004,352,353,103,54,24,5
,2004/2005,354,366,98,52,22,7
,2005/2006,354,385,100,50,20,9
,2006/2007,336,360,103,59,20,8
,2007/2008,319,339,75,63,18,9
,2008/2009,268,301,88,63,21,10
,2009/2010,272,311,93,87,20,7
,2010/2011,287,302,100,111,24,7
,2011/2012,259,294,109,124,25,13
,2012/2013,282,328,117,148,29,13
,2013/2014,281,289,136,178,28,10
,2014/2015,251,287,136,172,33,11
,2015/2016,230,321,83,216,31,8
,2016/2017,225,282,99,223,31,12
,2017/2018,214,252,90,228,29,14
,2018/2019,199,232,93,224,33,14
,2019/2020,177,217,99,216,30,14
    Litauen,1998/1999,289,177,34,18,20,18
,1999/2000,343,236,51,42,23,18
,2000/2001,454,323,85,50,25,22
,2001/2002,522,445,122,79,29,17
,2002/2003,600,538,140,112,41,34
,2003/2004,688,621,176,111,45,26
,2004/2005,713,631,165,109,60,23
,2005/2006,682,687,179,107,66,26
,2006/2007,642,656,181,104,60,24
,2007/2008,538,595,176,112,61,28
,2008/2009,480,547,173,110,57,23
,2009/2010,430,518,157,99,54,16
,2010/2011,423,454,140,121,44,17
,2011/2012,415,427,159,123,42,11
,2012/2013,427,420,151,115,56,13
,2013/2014,422,393,152,132,61,17
,2014/2015,391,398,169,147,67,14
,2015/2016,311,450,100,218,86,13
,2016/2017,291,409,96,237,84,14
,2017/2018,269,368,89,234,103,18
,2018/2019,269,373,91,226,109,16
,2019/2020,277,330,109,230,107,12
    Luxemburg,1998/1999,498,204,216,367,50,46
,1999/2000,545,184,254,372,61,49
,2000/2001,602,213,298,364,78,50
,2001/2002,704,213,343,379,88,55
,2002/2003,767,227,376,391,100,54
,2003/2004,830,245,375,382,113,63
,2004/2005,904,259,381,390,130,68
,2005/2006,925,278,406,410,144,79
,2006/2007,959,326,405,439,155,89
,2007/2008,993,357,416,478,164,76
,2008/2009,1020,374,440,522,198,87
