Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,2014/2015,779,732,344,337,130,44
,2015/2016,622,943,201,523,131,48
,2016/2017,599,917,216,544,126,34
,2017/2018,611,993,211,519,137,53
,2018/2019,609,980,215,543,140,35
,2019/2020,584,1066,224,594,135,40
    Vereinigtes Königreich,1998/1999,1216,753,243,232,80,19
,1999/2000,1180,729,273,199,76,18
,2000/2001,1101,632,247,202,76,23
,2001/2002,1012,591,262,177,81,16
,2002/2003,982,559,259,192,73,17
,2003/2004,963,534,252,183,72,24
,2004/2005,877,504,241,149,79,19
,2005/2006,822,479,240,159,78,16
,2006/2007,867,462,217,165,63,14
,2007/2008,776,430,217,151,65,12
,2008/2009,851,461,232,159,61,17
,2009/2010,879,482,271,156,63,23
,2010/2011,973,508,281,219,79,27
,2011/2012,998,580,305,223,77,31
,2012/2013,1119,661,348,248,89,35
,2013/2014,1173,694,405,285,91,30
,2014/2015,1151,724,456,291,98,35
,2015/2016,1166,829,369,420,104,38
,2016/2017,1197,860,397,468,106,54
,2017/2018,1194,843,395,485,120,59
,2018/2019,1121,796,385,476,129,58
,2019/2020,1058,701,375,398,130,50
    Zypern,1998/1999,68,25,18,21,31,4
,1999/2000,71,23,18,20,34,3
,2000/2001,77,20,21,19,42,1
,2001/2002,77,19,26,21,40,3
,2002/2003,69,25,23,26,50,4
,2003/2004,77,27,24,27,54,3
,2004/2005,70,29,28,20,53,4
,2005/2006,69,28,30,26,57,5
,2006/2007,71,27,29,25,62,7
,2007/2008,59,18,31,21,72,7
,2008/2009,55,24,30,21,79,8
,2009/2010,56,26,26,20,93,10
,2010/2011,62,21,32,18,105,7
,2011/2012,54,20,36,26,125,10
,2012/2013,59,20,37,33,159,12
,2013/2014,65,19,42,42,244,15
,2014/2015,67,30,50,42,332,19
,2015/2016,59,35,58,58,410,19
,2016/2017,63,48,60,76,481,18
,2017/2018,61,56,71,84,525,29
,2018/2019,67,57,86,83,507,27
,2019/2020,67,62,84,84,481,26
  Nicht-EU-Staaten 3),1998/1999,17198,21233,7090,11103,3565,700
,1999/2000,18872,24028,8247,11315,3710,760
,2000/2001,21269,26325,10173,11651,3702,834
,2001/2002,24330,29429,12461,12365,3891,954
,2002/2003,27231,32437,14231,13325,3950,1098
,2003/2004,30195,34980,15916,14431,4062,1173
,2004/2005,20193,26012,13445,11983,3406,860
,2005/2006,20367,26494,13498,12129,3399,855
,2006/2007,19988,26692,13590,11745,3225,827
,2007/2008,14813,20362,9871,9607,2183,612
,2008/2009,14586,22016,10188,10173,2069,655
,2009/2010,14801,22155,10759,11995,2120,681
,2010/2011,15240,22294,11360,13762,2166,679
,2011/2012,16000,23110,12285,15201,2238,701
,2012/2013,16514,23909,13270,16567,2346,679
,2013/2014,16015,23424,13233,17095,2296,685
,2014/2015,16316,24177,13966,18240,2429,749
,2015/2016,13495,27862,6965,27022,2675,793
,2016/2017,13984,28315,7378,28298,2766,840
,2017/2018,13764,28707,7443,28660,2913,824
,2018/2019,13524,28921,7550,28826,3063,854
,2019/2020,13454,28765,7668,28272,3198,880
    Bosnien-Herzegowina,1998/1999,274,373,196,460,88,11
,1999/2000,313,467,235,502,109,15
,2000/2001,357,576,290,536,110,20
,2001/2002,409,649,311,521,110,15
,2002/2003,448,743,359,522,109,25
,2003/2004,468,852,378,561,107,22
,2004/2005,481,888,389,564,112,21
,2005/2006,530,922,404,560,114,16
,2006/2007,549,962,417,558,102,15
,2007/2008,546,964,414,551,85,13
,2008/2009,558,1029,421,571,85,17
,2009/2010,571,1024,450,651,90,17
,2010/2011,579,1009,462,699,92,18
,2011/2012,628,1040,504,750,92,21
,2012/2013,632,1088,518,756,105,24
,2013/2014,638,1104,516,782,100,24
,2014/2015,642,1136,553,781,122,31
,2015/2016,501,1242,273,1108,128,26
,2016/2017,502,1265,261,1149,141,33
,2017/2018,494,1242,283,1138,148,26
,2018/2019,457,1239,262,1111,148,26
,2019/2020,443,1205,260,1060,181,31
    Island,1998/1999,97,39,20,41,8,15
,1999/2000,89,43,19,32,8,13
,2000/2001,70,27,18,29,8,8
,2001/2002,67,23,20,37,7,4
,2002/2003,53,29,19,36,9,3
,2003/2004,73,25,14,41,7,2
,2004/2005,58,20,14,34,6,1
,2005/2006,50,16,14,22,5,1
,2006/2007,45,21,11,25,4,2
,2007/2008,30,22,10,17,6,2
,2008/2009,41,22,5,18,5,-
,2009/2010,45,23,6,20,4,-
,2010/2011,60,17,11,24,4,-
,2011/2012,59,20,15,18,6,1
,2012/2013,55,23,17,17,4,-
,2013/2014,64,24,15,26,7,-
,2014/2015,64,24,12,28,9,-
,2015/2016,51,27,8,34,7,1
,2016/2017,51,28,14,29,5,-
,2017/2018,49,37,15,21,4,-
,2018/2019,55,42,13,22,4,1
,2019/2020,49,36,18,21,6,3
    Montenegro,1998/1999,m,m,m,m,m,m
,1999/2000,m,m,m,m,m,m
,2000/2001,m,m,m,m,m,m
,2001/2002,m,m,m,m,m,m
,2002/2003,m,m,m,m,m,m
,2003/2004,m,m,m,m,m,m
,2004/2005,m,m,m,m,m,m
,2005/2006,m,m,m,m,m,m
,2006/2007,m,m,m,m,m,m
,2007/2008,38,76,41,58,10,4
,2008/2009,37,67,20,39,6,1
,2009/2010,31,71,20,34,3,-
,2010/2011,43,72,24,44,6,1
,2011/2012,48,77,32,50,5,3
,2012/2013,59,85,37,64,6,1
,2013/2014,61,118,48,74,9,3
,2014/2015,62,132,48,86,10,1
,2015/2016,55,153,28,133,15,2
,2016/2017,60,159,37,144,18,4
,2017/2018,71,160,39,136,15,3
,2018/2019,63,167,39,144,19,1
,2019/2020,63,166,44,142,23,2
    Nordmazedonien,1998/1999,90,109,59,103,31,1
,1999/2000,107,138,69,123,36,1
,2000/2001,106,162,87,131,35,2
,2001/2002,136,179,102,153,41,6
,2002/2003,144,193,111,156,46,10
,2003/2004,157,204,121,160,52,10
,2004/2005,324,398,240,295,84,20
,2005/2006,161,218,152,158,58,7
,2006/2007,171,264,167,164,59,10
,2007/2008,160,265,150,141,55,7
,2008/2009,135,247,155,134,43,5
,2009/2010,145,243,158,123,46,5
,2010/2011,159,237,169,136,38,3
,2011/2012,146,244,165,154,42,6
,2012/2013,153,268,178,169,44,4
,2013/2014,163,283,206,216,39,7
,2014/2015,193,301,213,236,37,12
,2015/2016,165,361,109,380,42,14
,2016/2017,164,406,113,430,39,14
,2017/2018,162,403,129,417,51,12
,2018/2019,159,423,125,450,60,13
,2019/2020,171,423,122,428,59,11
    Norwegen,1998/1999,173,170,45,62,410,83
,1999/2000,195,126,49,47,418,89
,2000/2001,171,152,51,46,398,88
,2001/2002,178,121,49,43,375,85
,2002/2003,204,112,55,45,335,70
,2003/2004,172,139,62,48,293,59
,2004/2005,169,160,59,55,264,46
,2005/2006,146,133,52,55,232,41
,2006/2007,127,141,44,58,185,34
,2007/2008,115,109,39,37,157,28
,2008/2009,147,124,36,41,118,26
,2009/2010,132,106,35,34,97,27
,2010/2011,140,95,32,43,82,19
,2011/2012,153,85,35,52,80,10
,2012/2013,146,109,39,54,71,9
,2013/2014,149,99,47,69,65,8
,2014/2015,149,119,57,66,54,7
,2015/2016,157,150,39,91,49,9
,2016/2017,144,160,52,94,39,8
,2017/2018,137,187,55,96,31,6
,2018/2019,144,182,52,123,40,10
,2019/2020,166,172,54,108,34,6
    Russische Föderation,1998/1999,2016,1430,676,525,220,63
,1999/2000,2348,1887,818,589,230,74
,2000/2001,2738,2229,1049,663,232,76
,2001/2002,3239,2707,1350,758,234,95
,2002/2003,3656,3152,1586,818,262,127
,2003/2004,4142,3509,1784,939,298,142
,2004/2005,4327,3776,1900,973,344,159
,2005/2006,4493,4063,1834,1045,376,142
,2006/2007,4466,4287,1836,1091,366,151
,2007/2008,4317,4195,1779,1073,354,129
,2008/2009,4156,4691,1880,1139,337,175
,2009/2010,4120,4719,1910,1363,357,183
,2010/2011,4157,4875,1978,1545,373,204
,2011/2012,4192,4900,2112,1797,414,215
,2012/2013,4267,5025,2259,2012,414,222
,2013/2014,4250,5173,2399,2019,454,230
,2014/2015,4281,5302,2550,2108,474,249
,2015/2016,3641,5740,1327,3472,487,242
,2016/2017,3572,5534,1449,3632,501,251
,2017/2018,3398,5262,1411,3509,506,236
,2018/2019,3239,5087,1460,3439,512,231
,2019/2020,3213,4909,1592,3606,535,218
    Schweiz,1998/1999,892,437,180,147,27,41
,1999/2000,899,456,208,135,32,44
,2000/2001,884,459,207,141,41,31
,2001/2002,885,431,220,145,48,33
,2002/2003,852,471,222,153,44,24
,2003/2004,895,514,231,169,54,33
,2004/2005,861,482,257,179,86,31
,2005/2006,893,504,240,181,92,31
,2006/2007,901,511,247,195,99,41
,2007/2008,893,505,263,204,95,30
,2008/2009,881,640,275,235,108,31
,2009/2010,919,684,290,258,114,37
,2010/2011,1035,665,309,303,128,47
,2011/2012,1102,787,342,313,149,52
,2012/2013,1132,823,395,322,169,41
,2013/2014,1190,823,413,344,191,67
,2014/2015,1156,907,434,351,213,64
,2015/2016,913,1245,310,540,259,78
,2016/2017,953,1312,321,559,248,70
,2017/2018,950,1396,317,608,259,71
,2018/2019,981,1407,317,636,297,79
,2019/2020,966,1459,327,640,274,97
    Türkei,1998/1999,3839,9138,2803,6165,1610,134
,1999/2000,3696,9446,3011,5896,1585,128
,2000/2001,3720,9348,3329,5646,1482,115
,2001/2002,3817,9360,3747,5558,1444,115
,2002/2003,3889,9225,4008,5558,1314,120
,2003/2004,3921,9171,4303,5741,1177,135
,2004/2005,3425,8275,4163,5506,1036,148
,2005/2006,3376,8046,4318,5566,957,156
,2006/2007,3295,8033,4480,5272,864,146
,2007/2008,3157,7836,4294,5217,749,151
,2008/2009,3260,8211,4467,5565,682,150
,2009/2010,3502,8162,4844,6810,694,158
,2010/2011,3756,8247,5240,7992,703,151
,2011/2012,4208,8736,5786,8911,685,175
,2012/2013,4541,9104,6367,9750,733,150
,2013/2014,4934,9737,6657,10780,739,157
,2014/2015,5240,9968,6957,11612,777,182
,2015/2016,4281,11667,3250,16250,857,225
,2016/2017,4680,12089,3417,16983,924,216
,2017/2018,4779,12740,3375,17240,986,218
,2018/2019,4824,13071,3320,17176,1023,220
,2019/2020,4829,13037,3217,16506,1067,246
    Ukraine,1998/1999,690,653,374,257,116,33
,1999/2000,929,871,526,324,140,46
,2000/2001,1248,1105,728,382,167,58
,2001/2002,1684,1430,1020,490,212,81
,2002/2003,2138,1830,1205,569,234,95
,2003/2004,2558,2279,1377,654,262,108
,2004/2005,2853,2583,1449,764,299,118
,2005/2006,2972,2900,1481,863,328,127
,2006/2007,3016,2980,1512,888,317,126
,2007/2008,2767,2937,1440,840,295,129
,2008/2009,2620,3234,1406,868,297,132
,2009/2010,2623,3313,1430,996,322,134
,2010/2011,2539,3298,1442,1112,316,123
,2011/2012,2601,3288,1481,1147,308,104
,2012/2013,2620,3267,1532,1203,312,110
,2013/2014,2650,3322,1552,1262,316,110
,2014/2015,2619,3363,1638,1298,347,114
,2015/2016,2156,3874,842,2271,357,113
,2016/2017,2177,3802,841,2294,380,144
,2017/2018,2066,3623,867,2304,383,145
,2018/2019,1990,3465,906,2264,395,151
,2019/2020,1896,3375,918,2194,399,151
    Sonstige Staaten in Europa,1998/1999,1333,1373,648,979,328,65
,1999/2000,1354,1471,674,916,321,77
,2000/2001,1498,1530,755,882,307,88
,2001/2002,1617,1611,834,877,307,90
,2002/2003,1789,1748,867,858,268,92
,2003/2004,1957,1891,977,853,227,96
,2004/2005,1869,1814,845,671,269,60
,2005/2006,2032,2116,965,795,288,86
,2006/2007,1988,2137,1002,805,289,79
,2007/2008,1813,1974,867,698,238,84
,2008/2009,1756,2236,962,789,254,87
,2009/2010,1731,2279,1031,863,260,85
,2010/2011,1769,2325,1086,996,291,76
,2011/2012,1880,2436,1161,1122,318,75
,2012/2013,1872,2594,1232,1320,339,78
,2013/2014,1916,2741,1380,1523,376,79
,2014/2015,1910,2925,1504,1674,386,89
,2015/2016,1575,3403,779,2743,474,83
,2016/2017,1681,3560,873,2984,471,100
,2017/2018,1658,3657,952,3191,530,107
,2018/2019,1612,3838,1056,3461,565,122
,2019/2020,1658,3983,1116,3567,620,115
Afrika,1998/1999,2538,3003,3499,6121,687,652
,1999/2000,2707,3291,3979,6308,733,678
,2000/2001,2846,3500,4503,6587,753,663
,2001/2002,2969,3609,5009,7085,796,703
,2002/2003,3034,4092,5474,7856,842,726
,2003/2004,3088,4125,5761,8506,853,723
,2004/2005,2906,3868,5580,8662,929,671
,2005/2006,2765,4027,5475,9083,931,602
,2006/2007,2726,4106,5442,8867,951,597
,2007/2008,2474,3881,5000,8490,903,603
,2008/2009,2339,4194,4976,8741,918,568
,2009/2010,2277,3951,4843,9108,969,536
,2010/2011,2272,3914,4653,9248,937,506
,2011/2012,2275,4018,4612,9096,940,528
,2012/2013,2277,4213,4799,9396,936,522
,2013/2014,2418,4329,5076,9931,964,572
,2014/2015,2449,4689,5536,10858,980,629
,2015/2016,2174,5320,2636,15398,1067,717
,2016/2017,2292,5705,2940,17192,1067,803
,2017/2018,2340,6068,3124,18950,1154,860
,2018/2019,2467,6651,3549,20545,1261,990
,2019/2020,2707,7291,3939,22540,1375,1103
    Ägypten,1998/1999,295,168,309,287,51,56
,1999/2000,275,161,314,245,62,69
,2000/2001,297,156,367,228,67,76
,2001/2002,304,163,399,248,76,88
,2002/2003,314,157,379,254,78,82
,2003/2004,296,157,379,254,79,80
,2004/2005,257,135,288,231,72,52
,2005/2006,222,114,246,229,60,36
,2006/2007,205,110,268,226,66,45
,2007/2008,228,88,377,258,70,66
,2008/2009,227,109,410,297,85,75
,2009/2010,245,150,434,361,96,73
,2010/2011,245,151,429,419,115,64
,2011/2012,273,173,389,466,107,65
,2012/2013,290,236,468,604,118,62
,2013/2014,342,274,507,736,143,55
,2014/2015,359,336,629,837,170,53
,2015/2016,327,469,384,1331,223,54
,2016/2017,371,546,444,1662,236,69
,2017/2018,415,596,514,2067,255,76
,2018/2019,435,718,634,2636,307,92
,2019/2020,525,829,669,3178,349,89
    Äthiopien,1998/1999,58,141,153,224,31,100
,1999/2000,51,129,138,188,33,100
,2000/2001,52,115,137,163,29,92
,2001/2002,41,98,126,154,25,87
,2002/2003,47,90,131,153,24,89
,2003/2004,47,90,131,153,21,87
,2004/2005,37,83,111,152,29,83
,2005/2006,30,73,103,133,21,67
,2006/2007,29,76,111,115,17,70
,2007/2008,26,66,101,111,17,80
,2008/2009,34,78,123,104,16,75
,2009/2010,37,83,112,126,17,67
,2010/2011,45,68,116,154,14,73
,2011/2012,42,76,126,148,16,82
,2012/2013,45,102,127,151,20,81
,2013/2014,49,98,115,147,27,80
,2014/2015,44,103,117,121,26,77
,2015/2016,44,126,62,159,28,78
,2016/2017,36,138,75,162,29,71
,2017/2018,43,149,75,187,37,70
,2018/2019,36,146,73,193,35,75
,2019/2020,34,178,57,198,35,63
    Algerien,1998/1999,89,69,85,123,5,9
,1999/2000,88,53,94,110,4,10
,2000/2001,82,50,97,104,3,10
,2001/2002,75,50,92,95,5,8
,2002/2003,75,42,103,95,5,8
,2003/2004,63,42,103,95,3,8
,2004/2005,53,37,81,66,4,5
,2005/2006,47,36,75,60,8,3
,2006/2007,41,37,78,57,5,4
,2007/2008,38,33,67,47,6,2
,2008/2009,32,40,68,44,4,-
,2009/2010,32,36,66,47,5,-
,2010/2011,37,35,66,53,4,1
,2011/2012,47,38,66,62,4,2
,2012/2013,40,47,60,76,4,3
,2013/2014,52,41,64,81,5,3
,2014/2015,56,51,67,84,5,2
,2015/2016,51,56,46,133,6,4
,2016/2017,56,61,51,114,7,3
,2017/2018,51,61,64,133,8,2
,2018/2019,58,54,64,160,11,4
,2019/2020,67,66,67,196,13,2
    Ghana,1998/1999,55,87,97,93,27,17
,1999/2000,46,83,87,89,30,18
,2000/2001,47,89,91,94,28,25
,2001/2002,42,108,139,175,32,36
,2002/2003,55,114,210,260,29,67
,2003/2004,50,114,210,260,30,67
,2004/2005,48,74,158,196,28,66
,2005/2006,41,67,125,142,28,38
,2006/2007,40,65,84,114,31,41
,2007/2008,29,61,73,93,27,39
,2008/2009,24,80,73,100,23,33
,2009/2010,33,99,73,95,12,38
,2010/2011,46,112,72,120,28,48
,2011/2012,63,133,80,136,37,62
,2012/2013,67,153,98,153,38,73
,2013/2014,80,160,124,155,39,95
,2014/2015,97,211,136,166,35,111
,2015/2016,95,292,127,199,37,125
,2016/2017,91,367,126,227,44,132
,2017/2018,113,483,173,263,66,149
,2018/2019,141,565,180,326,78,166
,2019/2020,153,602,224,335,84,169
    Kamerun,1998/1999,346,497,803,972,224,124
,1999/2000,405,620,1042,1185,234,142
,2000/2001,409,694,1206,1427,251,154
,2001/2002,414,692,1305,1607,278,168
,2002/2003,454,719,1427,1816,301,179
,2003/2004,466,719,1427,1816,308,178
,2004/2005,425,788,1540,2123,334,183
,2005/2006,380,848,1519,2263,333,178
,2006/2007,351,904,1540,2219,335,154
,2007/2008,322,1002,1452,2244,303,135
,2008/2009,283,1072,1478,2292,288,123
,2009/2010,282,1021,1423,2409,302,113
,2010/2011,265,1009,1399,2520,287,95
,2011/2012,286,1045,1424,2624,302,102
,2012/2013,274,1098,1518,2786,263,77
,2013/2014,293,1147,1633,2987,265,83
,2014/2015,274,1200,1779,3294,260,86
,2015/2016,251,1214,701,4808,265,97
,2016/2017,250,1258,762,5052,247,107
,2017/2018,223,1191,659,5140,226,96
,2018/2019,256,1164,651,5012,230,93
,2019/2020,265,1204,698,5357,220,100
    Marokko,1998/1999,626,720,993,2759,77,80
,1999/2000,711,879,1163,2792,79,75
,2000/2001,780,1010,1379,2878,84,73
,2001/2002,860,1108,1569,3065,87,76
,2002/2003,892,1312,1715,3345,93,64
,2003/2004,960,1312,1715,3345,98,64
,2004/2005,943,1418,1802,3676,106,74
,2005/2006,930,1516,1758,3822,116,71
,2006/2007,954,1478,1702,3611,121,65
,2007/2008,811,1312,1417,3206,116,56
,2008/2009,744,1333,1314,3100,113,45
,2009/2010,654,1109,1228,3144,112,34
,2010/2011,607,1033,1094,3009,97,26
,2011/2012,569,977,1050,2757,91,17
,2012/2013,535,929,1012,2597,82,14
,2013/2014,486,922,1058,2612,76,11
,2014/2015,483,873,1099,2781,67,11
,2015/2016,401,948,328,3686,71,13
,2016/2017,377,963,359,3881,74,20
,2017/2018,356,998,396,4038,81,25
,2018/2019,352,1035,472,4154,80,40
,2019/2020,354,1046,532,4323,88,50
    Nigeria,1998/1999,237,135,105,100,33,24
,1999/2000,224,150,122,110,35,23
,2000/2001,225,149,116,119,34,24
,2001/2002,201,155,113,135,33,25
,2002/2003,164,147,124,129,40,28
,2003/2004,165,147,124,129,44,28
,2004/2005,143,115,113,118,49,24
,2005/2006,122,110,105,125,50,29
,2006/2007,116,107,86,132,47,25
,2007/2008,126,111,80,152,46,33
,2008/2009,121,109,86,155,53,31
,2009/2010,116,113,88,173,60,27
,2010/2011,112,122,98,190,60,25
,2011/2012,108,131,115,197,57,37
,2012/2013,102,164,142,241,63,46
,2013/2014,141,200,181,302,61,57
,2014/2015,156,271,235,379,61,86
,2015/2016,179,366,212,533,51,113
,2016/2017,188,396,296,596,46,145
,2017/2018,210,470,343,724,60,163
,2018/2019,262,664,490,1028,76,227
,2019/2020,348,931,653,1386,99,347
    Tunesien,1998/1999,142,146,229,431,17,8
,1999/2000,190,164,237,456,21,6
,2000/2001,224,174,301,512,19,7
,2001/2002,256,186,371,586,19,8
,2002/2003,235,195,444,709,27,9
,2003/2004,241,195,444,709,35,9
,2004/2005,246,222,533,973,36,13
,2005/2006,260,267,589,1198,42,13
,2006/2007,247,317,656,1311,48,14
,2007/2008,222,305,651,1433,56,14
,2008/2009,204,346,638,1590,69,13
,2009/2010,197,306,615,1653,76,12
,2010/2011,173,278,562,1628,81,7
,2011/2012,158,256,500,1555,78,5
,2012/2013,160,236,484,1611,83,2
,2013/2014,152,222,491,1774,85,8
,2014/2015,167,243,555,2041,82,13
,2015/2016,158,310,234,2868,82,25
,2016/2017,190,371,246,3716,88,37
,2017/2018,210,428,295,4524,89,49
,2018/2019,195,455,333,5046,101,55
,2019/2020,206,487,363,5392,98,53
    Sonstige Staaten in Afrika,1998/1999,690,1040,725,1132,222,234
,1999/2000,717,1052,782,1133,235,235
,2000/2001,730,1063,809,1062,238,202
,2001/2002,776,1049,895,1020,241,207
,2002/2003,798,1316,941,1095,245,200
,2003/2004,800,1349,1228,1745,235,202
,2004/2005,754,996,954,1127,271,171
,2005/2006,733,996,955,1111,273,167
,2006/2007,743,1012,917,1082,281,179
,2007/2008,672,903,782,946,262,178
,2008/2009,670,1027,786,1059,267,173
,2009/2010,681,1034,804,1100,289,172
,2010/2011,742,1106,817,1155,251,167
,2011/2012,729,1189,862,1151,248,156
,2012/2013,764,1248,890,1177,265,164
,2013/2014,823,1265,903,1137,263,180
,2014/2015,813,1401,919,1155,274,190
,2015/2016,668,1539,542,1681,304,208
,2016/2017,733,1605,581,1782,296,219
,2017/2018,719,1692,605,1874,332,230
,2018/2019,732,1850,652,1990,343,238
,2019/2020,755,1948,676,2175,389,230
Amerika,1998/1999,4331,1866,1031,1167,301,276
,1999/2000,4229,1964,1060,1307,290,274
,2000/2001,4140,2094,1155,1390,288,289
,2001/2002,4126,2224,1241,1597,297,278
,2002/2003,4253,2376,1469,1697,325,308
,2003/2004,4396,2581,1591,1944,329,341
,2004/2005,4297,2654,1668,2146,378,324
,2005/2006,4187,2972,1757,2252,407,342
,2006/2007,4147,3209,1809,2447,392,393
,2007/2008,4133,3263,1771,2400,394,404
,2008/2009,4308,3708,1905,2602,404,439
,2009/2010,4575,4325,2009,2840,478,399
,2010/2011,4842,4163,2103,3179,489,481
,2011/2012,5104,4541,2378,3477,540,513
,2012/2013,5239,4697,2728,3991,612,619
,2013/2014,5475,5174,2884,4610,703,692
,2014/2015,5788,5610,3287,5496,746,785
,2015/2016,5551,6681,2574,6950,754,832
,2016/2017,5738,7217,2709,6324,781,858
,2017/2018,5969,7677,2902,6744,807,905
,2018/2019,6178,7850,3073,7174,801,908
,2019/2020,6178,8259,3171,7251,804,885
    Argentinien,1998/1999,166,90,53,62,4,14
,1999/2000,167,83,57,66,3,13
,2000/2001,171,90,70,71,3,14
,2001/2002,175,96,63,110,9,13
,2002/2003,185,107,83,102,13,15
,2003/2004,196,123,87,83,13,17
,2004/2005,190,95,93,88,7,12
,2005/2006,178,106,81,94,6,12
,2006/2007,156,118,66,94,11,11
,2007/2008,155,113,59,85,13,13
,2008/2009,147,95,51,100,11,9
,2009/2010,145,111,43,113,15,7
,2010/2011,141,118,52,100,12,10
,2011/2012,125,102,52,107,10,13
,2012/2013,124,112,56,106,9,9
,2013/2014,132,136,55,126,12,9
,2014/2015,149,128,48,134,11,13
,2015/2016,159,150,43,166,10,23
,2016/2017,161,149,43,202,11,24
,2017/2018,168,192,55,217,12,19
,2018/2019,178,194,70,242,19,17
,2019/2020,167,197,67,233,15,20
    Bolivien,1998/1999,50,40,30,50,9,16
,1999/2000,47,45,29,43,4,18
,2000/2001,49,49,27,43,4,18
,2001/2002,48,51,31,45,4,17
,2002/2003,45,55,30,55,2,13
,2003/2004,55,60,28,61,2,13
,2004/2005,47,70,29,64,3,8
,2005/2006,41,82,31,57,4,9
,2006/2007,49,80,25,53,5,11
,2007/2008,36,67,30,50,7,8
,2008/2009,39,72,34,52,4,5
,2009/2010,44,68,27,52,2,7
,2010/2011,39,77,35,65,3,6
,2011/2012,47,80,44,57,6,11
,2012/2013,57,87,49,70,11,11
,2013/2014,54,98,47,74,10,18
,2014/2015,48,92,47,80,8,14
,2015/2016,37,119,26,108,7,12
,2016/2017,37,110,35,100,10,12
,2017/2018,32,114,36,116,11,12
,2018/2019,44,130,36,126,11,11
,2019/2020,47,127,38,149,8,13
    Brasilien,1998/1999,596,218,160,207,43,54
,1999/2000,589,235,157,258,40,46
,2000/2001,592,270,165,302,43,60
,2001/2002,604,317,183,305,43,57
,2002/2003,613,323,212,269,63,70
,2003/2004,663,377,229,306,62,61
,2004/2005,598,380,252,321,77,54
,2005/2006,611,452,279,385,84,56
,2006/2007,601,515,304,459,75,64
,2007/2008,656,566,295,461,72,68
,2008/2009,650,643,329,479,74,71
,2009/2010,719,694,350,558,85,61
,2010/2011,723,767,356,572,74,69
,2011/2012,735,819,384,639,88,62
,2012/2013,793,859,531,922,102,103
,2013/2014,817,942,580,1283,133,129
,2014/2015,848,1007,729,1780,171,173
,2015/2016,791,1129,528,2098,118,147
,2016/2017,734,1139,381,1016,113,118
,2017/2018,826,1294,395,1201,110,128
,2018/2019,848,1334,417,1343,118,143
,2019/2020,844,1483,398,1385,133,139
    Chile,1998/1999,201,104,51,52,12,29
,1999/2000,205,113,50,68,10,26
,2000/2001,190,114,56,59,9,31
,2001/2002,219,113,55,68,8,20
,2002/2003,222,136,81,91,15,30
,2003/2004,246,118,77,119,18,33
,2004/2005,231,118,78,129,20,30
,2005/2006,220,147,83,131,20,25
,2006/2007,210,143,71,132,19,32
,2007/2008,210,135,76,130,20,40
,2008/2009,212,153,99,138,18,45
,2009/2010,220,153,102,166,24,38
,2010/2011,230,172,117,182,16,43
,2011/2012,251,186,122,206,17,32
,2012/2013,253,199,166,184,30,43
,2013/2014,272,191,174,172,44,35
,2014/2015,283,186,195,190,42,37
,2015/2016,262,225,150,222,42,40
,2016/2017,260,269,183,251,43,37
,2017/2018,273,287,174,261,40,37
,2018/2019,307,314,177,223,35,41
,2019/2020,298,343,188,251,26,46
    Kanada,1998/1999,251,81,51,36,17,2
,1999/2000,225,83,58,30,22,1
,2000/2001,226,78,65,37,18,6
,2001/2002,252,98,57,38,19,7
,2002/2003,253,97,74,50,20,6
,2003/2004,282,91,75,67,16,4
,2004/2005,267,93,80,73,26,9
,2005/2006,280,92,89,76,30,10
,2006/2007,265,113,78,85,34,9
,2007/2008,240,119,80,63,36,16
,2008/2009,259,153,83,75,33,12
,2009/2010,240,155,100,63,45,12
,2010/2011,269,149,100,79,43,16
,2011/2012,292,196,125,74,50,20
,2012/2013,291,213,137,81,59,24
,2013/2014,344,215,146,116,55,28
,2014/2015,376,269,167,130,61,36
,2015/2016,346,331,143,178,62,40
,2016/2017,343,349,168,209,69,58
,2017/2018,350,352,169,224,67,58
,2018/2019,356,339,179,231,68,56
,2019/2020,333,332,174,242,72,42
    Kolumbien,1998/1999,160,108,69,71,15,20
,1999/2000,175,124,75,85,15,23
,2000/2001,171,154,94,89,15,21
,2001/2002,217,185,104,131,17,25
,2002/2003,241,233,135,169,16,34
,2003/2004,280,277,161,215,20,35
,2004/2005,297,311,168,247,30,37
,2005/2006,334,333,181,267,29,34
,2006/2007,348,355,194,295,28,41
,2007/2008,353,399,202,318,35,49
,2008/2009,391,419,222,350,36,61
,2009/2010,415,435,265,405,39,49
,2010/2011,440,440,285,445,41,64
,2011/2012,458,486,319,499,39,70
,2012/2013,492,521,351,569,51,81
,2013/2014,550,609,380,646,56,105
,2014/2015,610,671,405,742,58,113
,2015/2016,598,821,340,952,72,115
,2016/2017,634,871,380,1044,73,98
,2017/2018,650,970,396,1085,79,100
,2018/2019,718,1018,426,1169,76,91
,2019/2020,754,1155,459,1151,92,98
    Mexiko,1998/1999,114,91,60,53,11,18
,1999/2000,127,96,82,85,7,20
