,course_type,course_name,course_link,uni_name,uni_city,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type
24,PhD / Doctorate,Cell-Fate Decisions in the Immune System (DFG-SFB 1054 IRTG),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4495/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision
25,Graduate school,Cellular and Molecular Biology of Plants,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7120/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision
26,PhD / Doctorate,CEPLAS - Cluster of Excellence on Plant Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4494/,University of Cologne ,Düsseldorf,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
27,PhD / Doctorate,CEPLAS - Cluster of Excellence on Plant Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6293/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
28,PhD / Doctorate,Chemistry (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4782/,University of Göttingen ,Göttingen,inquire,"German, English",More than 9 semesters,"Winter semester, Summer semester",Structured research and supervision
29,PhD / Doctorate,Chromatin Dynamics (Integrated Research Training Group IRTG-SFB 1064),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4481/,Ludwig-Maximilians-Universität München ,München,inquire,English,8 semesters,Any time,Structured research and supervision
30,PhD / Doctorate,CiM-IMPRS PhD Programme in Life and Natural Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4028/,University of Münster ,Münster,inquire,English,6 semesters,Winter semester,Structured research and supervision
31,PhD / Doctorate,Cognitive Science PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3615/,Osnabrück University ,Osnabrück,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
32,PhD / Doctorate,Cologne Graduate School of Ageing Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4165/,University of Cologne ,Köln,inquire,English,6 semesters,Winter semester,Structured research and supervision
33,PhD / Doctorate,CRC 235 - PhD in Emergence of Life,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5622/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
34,PhD / Doctorate,DEWIN - Dynamics of Host-Pathogen Interactions,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4383/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision
35,PhD / Doctorate,DKFZ International PhD Programme in Cancer Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4058/,German Cancer Research Center (DKFZ) Heidelberg ,Heidelberg,inquire,English,6 semesters,Any time,Structured research and supervision
36,PhD / Doctorate,Doctoral Degree Programme in Gerontology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4584/,FAU Erlangen-Nürnberg ,Nürnberg,inquire,"German, English",4 semesters,"Winter semester, Summer semester",Structured research and supervision
37,PhD / Doctorate,Doctoral Programme - Statistics: Theory and Methods for Empirical Modelling,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4504/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",4 semesters,"Winter semester, Summer semester",Structured research and supervision
38,PhD / Doctorate,Doctoral Programme / EBS Business School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3937/,EBS Universität für Wirtschaft und Recht ,Oestrich-Winkel,inquire,English,4 semesters,Any time,Structured research and supervision
39,PhD / Doctorate,Doctoral Programme ARUS - Advanced Research in Urban Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4196/,University of Duisburg-Essen ,Essen,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision
40,PhD / Doctorate,Doctoral Programme Classical and Ancient Studies (PAW),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4206/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision
41,PhD / Doctorate,Doctoral Programme Environment and Society,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4214/,Ludwig-Maximilians-Universität München ,München,inquire,"English, German",6 semesters,"Winter semester, Summer semester",Structured research and supervision
42,PhD / Doctorate,"Doctoral Programme in Accounting, Finance and Management",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6885/,Frankfurt School of Finance & Management ,Frankfurt am Main,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
43,PhD / Doctorate,Doctoral Programme in Buddhist Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4111/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",7 semesters,"Winter semester, Summer semester",Structured research and supervision
44,PhD / Doctorate,Doctoral Programme in Clinical Pharmacy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4877/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Any time,Structured research and supervision
45,PhD / Doctorate,Doctoral Programme in Law (Doctor Juris),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3637/,University of Münster ,Münster,inquire,"German, English",6 semesters,Any time,Structured research and supervision
46,PhD / Doctorate,Doctoral Programme in Modern and Contemporary History (ProMoHist),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4209/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
47,PhD / Doctorate,Doctoral Programme in Natural Sciences (Dr rer nat),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4615/,University of Hohenheim ,Stuttgart,inquire,"German, English",6 semesters,Any time,Structured research and supervision
48,PhD / Doctorate,Doctoral Programme in Neuroscience,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3822/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision
49,PhD / Doctorate,Doctoral Programme in Quantitative Economics and Finance,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3808/,University of Konstanz ,Konstanz,inquire,English,6 semesters,Winter semester,Structured research and supervision
50,PhD / Doctorate,Doctoral Programme in the Overall Field of Cognition,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7152/,Max Planck School of Cognition ,Leipzig,inquire,English,8 semesters,Winter semester,Structured research and supervision
51,PhD / Doctorate,Doctoral Programme of the School of Business and Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4478/,FAU Erlangen-Nürnberg ,Nürnberg,inquire,"German, English",6 semesters,Any time,Structured research and supervision
52,PhD / Doctorate,Doctoral Programme Quantitative Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3760/,Kiel University ,Kiel,inquire,English,6 semesters,Winter semester,Structured research and supervision
53,PhD / Doctorate,Doctoral Programme Research Training Group 2175 Perception in Context and its Neural Basis,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4798/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision
54,PhD / Doctorate,Doctoral Training Programme in the Learning Sciences (DTP-LS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4127/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
55,PhD / Doctorate,Doctorate in TechnoScienceStudies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5285/,Technische Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
56,PhD / Doctorate,Dresden International Graduate School for Biomedicine and Bioengineering (DIGS-BB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3834/,Technische Universität Dresden ,Dresden,inquire,English,8 semesters,Any time,Structured research and supervision
57,PhD / Doctorate,Dresden Leibniz Graduate School (DLGS): Excellence in Spatial Sustainability Science and Transformative Leadership,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4291/,Leibniz Institute of Ecological Urban and Regional Development ,Dresden,inquire,English,6 semesters,Summer semester,Structured research and supervision
58,PhD / Doctorate,Einstein Center of Catalysis / Berlin International Graduate School of Natural Sciences and Engineering (EC2/BIG-NSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3974/,Technische Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision
59,PhD / Doctorate,European Doctorate in Law & Economics (EDLE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4054/,Universität Hamburg ,Hamburg,inquire,English,8 semesters,Winter semester,Structured research and supervision
60,PhD / Doctorate,Evolution and Ecology Research School Tübingen (EVEREST),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6144/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision
61,PhD / Doctorate,Evolutionary Processes in Adaptation and Disease (DFG Research Training Group 2220 EvoPAD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4792/,University of Münster ,Münster,inquire,English,6 semesters,Any time,Structured research and supervision
62,PhD / Doctorate,Forest Sciences and Forest Ecology (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3931/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,Any time,Structured research and supervision
63,PhD / Doctorate,Geography (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4400/,University of Göttingen ,Göttingen,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
64,PhD / Doctorate,German-French Graduate College Statistical Physics of Complex Systems in Equilibrium and Non-Equilibrium,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4152/,Leipzig University ,Leipzig,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
65,PhD / Doctorate,German-French Master's and Doctoral Programme in History - Deutsch-Französisches Master- und Doktorandenprogramm in Geschichtswissenschaften,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4377/,Universität Heidelberg ,Heidelberg,inquire,"German, French",6 semesters,Winter semester,Structured research and supervision
66,PhD / Doctorate,GGNB Biomolecules: Structure - Function - Dynamics (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3868/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
67,PhD / Doctorate,GGNB Cellular and Molecular Physiology of the Brain (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3932/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
68,PhD / Doctorate,GGNB Emerging Infectious Diseases - Leibniz Graduate School (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4402/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
69,PhD / Doctorate,GGNB Genes and Development (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3870/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
