,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type,german_cities_dup,german_cities_y,german_states
96,97,Graduate school,Graduate School of Economic and Social Sciences (GESS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5483/,University of Mannheim ,Mannheim,inquire,English,6 semesters,Winter semester,Structured research and supervision,Mannheim,Mannheim,Baden-Württemberg
97,98,Graduate school,"Graduate School of Economics, Finance and Management - GSEFM",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5392/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,6 semesters,Winter semester,Structured research and supervision,Frankfurt am Main,Frankfurt am Main,Hesse
98,99,PhD / Doctorate,Graduate School of Excellence Advanced Manufacturing Engineering in Stuttgart (GSaME),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4014/,University of Stuttgart ,Stuttgart,inquire,"German, English",8 semesters,Any time,Structured research and supervision,Stuttgart,Stuttgart,Baden-Württemberg
99,100,PhD / Doctorate,Graduate School of North American Studies (GSNAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3892/,Freie Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
100,101,PhD / Doctorate,Graduate School of Politics (GraSP) (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3902/,University of Münster ,Münster,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Münster,Münster,North Rhine-Westphalia
101,102,PhD / Doctorate,Graduate School of Quantitative Biosciences Munich (QBM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4441/,Ludwig-Maximilians-Universität München ,München,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
102,103,PhD / Doctorate,Graduate School of Systemic Neurosciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4019/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
103,104,PhD / Doctorate,Graduate School Practices of Literature (GSPoL),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4098/,University of Münster ,Münster,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Münster,Münster,North Rhine-Westphalia
104,105,Graduate school,"Graduate School Science, Medicine and Technology (OLTECH)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5269/,University of Oldenburg ,Oldenburg,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Oldenburg,Oldenburg,Lower Saxony
105,106,PhD / Doctorate,Graduate School Simulation Technology (GS SimTech),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4003/,University of Stuttgart ,Stuttgart,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Stuttgart,Stuttgart,Baden-Württemberg
106,107,Graduate school,GraduateCenter LMU Munich,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5224/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
107,108,PhD / Doctorate,GRK 2073 - Integrating Ethics and Epistemology of Scientific Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4699/,Bielefeld University ,Bielefeld,inquire,English,6 semesters,Other,Structured research and supervision,Bielefeld,Bielefeld,North Rhine-Westphalia
108,109,PhD / Doctorate,GRK 2073 – Integrating Ethics and Epistemology of Scientific Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4698/,Leibniz Universität Hannover ,Hannover,inquire,English,6 semesters,Other,Structured research and supervision,Hanover,Hanover,Lower Saxony
109,110,PhD / Doctorate,GRK 2300 Enrichment of European Beech Forests with Conifers,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5209/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Other,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
110,111,Graduate school,GRK 2381 cGMP: From Bedside to Bench,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6943/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Other,Structured research and supervision,Tübingen,Tübingen,Baden-Württemberg
111,112,Graduate school,"Göttingen Graduate Center for Neurosciences, Biophysics, and Molecular Biosciences",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5221/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Other,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
112,113,Graduate school,Hannover Biomedical Research School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5249/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Other,Structured research and supervision,Hanover,Hanover,Lower Saxony
113,114,PhD / Doctorate,Heidelberg Biosciences International Graduate School (HBIGS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3950/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
114,115,Graduate school,HEiKA Graduate School on Functional Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6543/,Karlsruhe Institute of Technology ,Karlsruhe,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Karlsruhe,Karlsruhe,Baden-Württemberg
115,116,Graduate school,Heine Research Academies (HeRA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5233/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
116,117,PhD / Doctorate,Helmholtz Interdisciplinary Graduate School for Environmental Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4020/,Helmholtz Centre for Environmental Research - UFZ ,Leipzig,inquire,English,6 semesters,Any time,Structured research and supervision,Leipzig,Leipzig,Saxony
117,118,PhD / Doctorate,HighRR - High Resolution and High Rate Detectors in Nuclear and Particle Physics Research Training Group,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4701/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,Any time,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
118,119,PhD / Doctorate,i-Target: Immunotargeting of Cancer (Internationales Doktorandenkolleg - Elitenetzwerk Bayern),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4485/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
119,120,PhD / Doctorate,IAMO Graduate School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4438/,Leibniz Institute of Agricultural Development in Transition Economies (IAMO) ,Halle (Saale),inquire,English,6 semesters,Any time,Structured research and supervision,Halle (Saale),Halle (Saale),Saxony-Anhalt
120,121,PhD / Doctorate,"iGRAD-Plant: Network, Exchange, and Training Programme to Understand Plant Resource Allocation (NEXTplant)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4093/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,Any time,Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
121,122,PhD / Doctorate,Integrated Analysis of Macromolecular Complexes and Hybrid Methods in Genome Biology (DFG GRK1721),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4366/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
122,123,PhD / Doctorate,Integrated Graduate College of the SFB/Transregio 185 (Bonn-Kaiserslautern): Open System Control of Atomic and Photonic Matter (OSCAR),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5320/,Technische Universität Kaiserslautern ,Kaiserslautern,inquire,English,6 semesters,Any time,Structured research and supervision,Kaiserslautern,Kaiserslautern,Rhineland-Palatinate
123,124,PhD / Doctorate,Integrated Graduate School Solvation Science (iGSS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7136/,Ruhr-Universität Bochum ,Bochum,inquire,English,6 semesters,Any time,Structured research and supervision,Bochum,Bochum,North Rhine-Westphalia
124,125,PhD / Doctorate,"Integrated Graduate School: Mathematical Modelling, Simulation and Optimisation Using the Example of Gas Networks (SFB Transregio 154)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5523/,FAU Erlangen-Nürnberg ,Erlangen,inquire,English,6 semesters,Any time,Structured research and supervision,Erlangen,Erlangen,Bavaria
125,126,PhD / Doctorate,Integrated Research Training Group (iRTG) Polymers: Random Coils and Beyond,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4339/,Martin Luther University Halle-Wittenberg ,Halle (Saale),inquire,English,7 semesters,Any time,Structured research and supervision,Halle (Saale),Halle (Saale),Saxony-Anhalt
126,127,PhD / Doctorate,Integrated Research Training Group AquaDiva (iRTG AquaDiva),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5545/,Friedrich Schiller University Jena ,Jena,inquire,English,8 semesters,Other,Structured research and supervision,Jena,Jena,Thuringia
127,128,PhD / Doctorate,Integrated Research Training Group of the Collaborative Research Centre 1116 - Master Switches in Cardiac Ischemia,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4573/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
128,129,PhD / Doctorate,Integrative Research Institute of Transformations of Human-Environment Systems Graduate Programme (IRI THESys),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4496/,Humboldt-Universität zu Berlin ,Berlin,inquire,English,More than 9 semesters,"Winter semester, Summer semester",Structured research and supervision,Berlin,Berlin,Berlin
129,130,PhD / Doctorate,International Doctoral Programme - Environment Water (ENWAT),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3783/,University of Stuttgart ,Stuttgart,inquire,English,6 semesters,Any time,Structured research and supervision,Stuttgart,Stuttgart,Baden-Württemberg
130,131,PhD / Doctorate,International Doctoral Programme Computational Neuroscience,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4121/,Technische Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
131,132,PhD / Doctorate,International Doctoral Programme European Urban Studies (IPP-EU),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4413/,Bauhaus-Universität Weimar ,Weimar,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Weimar,Weimar,Thuringia
132,133,PhD / Doctorate,International Doctoral Programme Transformations in European Societies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4442/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
133,134,PhD / Doctorate,International Doctorate for Experimental Approaches to Language and Brain (IDEALAB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4285/,University of Potsdam ,Potsdam,inquire,English,6 semesters,Winter semester,Structured research and supervision,Potsdam,Potsdam,Brandenburg
134,135,Graduate school,International Giessen Graduate Centre for the Life Sciences (GGL),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5325/,Justus Liebig University Giessen ,Gießen,inquire,English,6 semesters,Winter semester,Structured research and supervision,Gießen,Gießen,Hesse
135,136,Graduate school,International Graduate Centre for the Study of Culture (GCSC),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5305/,Justus Liebig University Giessen ,Gießen,inquire,English,6 semesters,Winter semester,Structured research and supervision,Gießen,Gießen,Hesse
136,137,PhD / Doctorate,International Graduate School for Dynamics in Logistics (IGS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7052/,University of Bremen ,Bremen,inquire,English,7 semesters,Any time,Structured research and supervision,Bremen,Bremen,Bremen
137,138,PhD / Doctorate,International Helmholtz Research School for Nanoelectronic Networks (NanoNet),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4391/,Helmholtz-Zentrum Dresden-Rossendorf ,Dresden,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Dresden,Dresden,Saxony
138,139,PhD / Doctorate,International Max Planck Research School (IMPRS) - Many Particle Systems in Structured Environments (MPSSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5512/,Max Planck Institute for the Physics of Complex Systems ,Dresden,inquire,English,6 semesters,Other,Structured research and supervision,Dresden,Dresden,Saxony
139,140,PhD / Doctorate,International Max Planck Research School (IMPRS) on Astrophysics at the Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3907/,Max Planck Institute for Extraterrestrial Physics ,Garching b. München,inquire,English,8 semesters,Winter semester,Structured research and supervision,Garching bei München,Garching bei München,Bavaria
140,141,PhD / Doctorate,International Max Planck Research School (IMPRS) on Understanding Complex Plant Traits Using Computational and Evolutionary Approaches,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3909/,Max Planck Institute for Plant Breeding Research ,Köln,inquire,English,6 semesters,Winter semester,Structured research and supervision,Cologne,Cologne,North Rhine-Westphalia
141,142,PhD / Doctorate,International Max Planck Research School (IMPRS): The Exploration of Ecological Interactions with Molecular and Chemical Techniques,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3894/,Max Planck Institute for Chemical Ecology ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision,Jena,Jena,Thuringia
142,143,PhD / Doctorate,International Max Planck Research School - From Molecules to Organisms,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4740/,University of Tübingen ,Tübingen,inquire,English,8 semesters,Winter semester,Structured research and supervision,Tübingen,Tübingen,Baden-Württemberg
143,144,PhD / Doctorate,"International Max Planck Research School - Moduli Spaces and their Applications in Algebra, Differential Geometry and Mathematical Physics",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3940/,Max Planck Institute for Mathematics ,Bonn,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Bonn,Bonn,North Rhine-Westphalia
144,145,PhD / Doctorate,International Max Planck Research School for Advanced Methods in Process and Systems Engineering (IMPRS ProEng),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3921/,Max Planck Institute for Dynamics of Complex Technical Systems ,Magdeburg,inquire,English,6 semesters,Any time,Structured research and supervision,Magdeburg,Magdeburg,Saxony-Anhalt
145,146,PhD / Doctorate,International Max Planck Research School for Biology AND Computation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4232/,Max Planck Institute for Molecular Genetics ,Berlin,inquire,English,6 semesters,Other,Structured research and supervision,Berlin,Berlin,Berlin
146,147,PhD / Doctorate,International Max Planck Research School for Chemistry and Physics of Quantum Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4756/,Max Planck Institute for Chemical Physics of Solids ,Dresden,inquire,English,8 semesters,Any time,Structured research and supervision,Dresden,Dresden,Saxony
147,148,PhD / Doctorate,International Max Planck Research School for Global Biogeochemical Cycles,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6506/,Max Planck Institute for Biogeochemistry ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision,Jena,Jena,Thuringia
148,149,PhD / Doctorate,"International Max Planck Research School for Immunobiology, Epigenetics, and Metabolism (IMPRS-IEM)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5604/,Max Planck Institute of Immunobiology and Epigenetics ,Freiburg im Breisgau,inquire,English,8 semesters,Winter semester,Structured research and supervision,Freiburg im Breisgau,Freiburg im Breisgau,Baden-Württemberg
149,150,PhD / Doctorate,International Max Planck Research School for Molecular Life Sciences: From Biological Structures to Neural Circuits (IMPRS-LS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5336/,Max Planck Institute of Biochemistry ,München,inquire,English,8 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
150,151,PhD / Doctorate,International Max Planck Research School for Molecular Organ Biology (IMPRS-MOB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6102/,Max Planck Institute for Heart and Lung Research ,Bad Nauheim,inquire,English,6 semesters,Winter semester,Structured research and supervision,Bad Nauheim,Bad Nauheim,Hesse
151,152,PhD / Doctorate,"International Max Planck Research School for Quantum Dynamics in Physics, Chemistry and Biology (IMPRS-QD)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6339/,Max Planck Institute for Nuclear Physics ,Heidelberg,inquire,English,6 semesters,Any time,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
152,153,PhD / Doctorate,International Max Planck Research School for Science and Technology of Nano-Systems (IMPRS-STNS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4050/,Max Planck Institute of Microstructure Physics ,Halle (Saale),inquire,English,6 semesters,Any time,Structured research and supervision,Halle (Saale),Halle (Saale),Saxony-Anhalt
153,154,PhD / Doctorate,International Max Planck Research School for the Mechanisms of Mental Function and Dysfunction,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3790/,University of Tübingen ,Tübingen,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Tübingen,Tübingen,Baden-Württemberg
154,155,PhD / Doctorate,International Max Planck Research School for Ultrafast Imaging & Structural Dynamics (IMPRS UFAST),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5569/,Max Planck Institute for the Structure and Dynamics of Matter ,Hamburg,inquire,English,6 semesters,Any time,Structured research and supervision,Hamburg,Hamburg,Hamburg
155,156,PhD / Doctorate,International Max Planck Research School in Chemical and Molecular Biology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5295/,Max Planck Institute of Molecular Physiology ,Dortmund,inquire,English,8 semesters,Any time,Structured research and supervision,Dortmund,Dortmund,North Rhine-Westphalia
156,157,PhD / Doctorate,International Max Planck Research School of Marine Microbiology (MarMic) - MSc/PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4468/,Max Planck Institute for Marine Microbiology ,Bremen,inquire,English,6 semesters,Winter semester,Structured research and supervision,Bremen,Bremen,Bremen
157,158,PhD / Doctorate,International Max Planck Research School on Earth System Modelling (IMPRS-ESM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6241/,Max Planck Institute for Meteorology ,Hamburg,inquire,English,6 semesters,Other,Structured research and supervision,Hamburg,Hamburg,Hamburg
158,159,PhD / Doctorate,"International Max Planck Research School on Neuroscience of Communication: Function, Structure, and Plasticity (IMPRS NeuroCom)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4639/,Max Planck Institute for Human Cognitive and Brain Sciences ,Leipzig,inquire,English,6 semesters,Any time,Structured research and supervision,Leipzig,Leipzig,Saxony
159,160,PhD / Doctorate,International Max Planck Research School on Reactive Structure Analysis for Chemical Reactions (IMPRS-RECHARGE PhD Programme),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6989/,Max Planck Institute for Chemical Energy Conversion ,Mülheim an der Ruhr,inquire,English,6 semesters,Any time,Structured research and supervision,Mülheim an der Ruhr,Mülheim an der Ruhr,North Rhine-Westphalia
160,161,PhD / Doctorate,International Max Planck Research School on the Social and Political Constitution of the Economy (IMPRS-SPCE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5214/,Max Planck Institute for the Study of Societies ,Köln,inquire,English,7 semesters,Winter semester,Structured research and supervision,Cologne,Cologne,North Rhine-Westphalia
161,162,PhD / Doctorate,International Max Planck Research School on Trustworthy Computing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3889/,Max Planck Institute for Informatics ,Saarbrücken,inquire,English,8 semesters,Any time,Structured research and supervision,Saarbrücken,Saarbrücken,Saarland
162,163,PhD / Doctorate,International Max Planck Research School on Trustworthy Computing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7046/,Max Planck Institute for Software Systems ,Kaiserslautern,inquire,English,8 semesters,Any time,Structured research and supervision,Kaiserslautern,Kaiserslautern,Rhineland-Palatinate
163,164,PhD / Doctorate,International Max Planck Research School Physics of Light (IMPRS-PL),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3908/,Max Planck Institute for the Science of Light ,Erlangen,inquire,English,6 semesters,Any time,Structured research and supervision,Erlangen,Erlangen,Bavaria
164,165,PhD / Doctorate,International Max Planck Research School Primary Metabolism and Plant Growth (IMPRS-PMPG),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4117/,Max Planck Institute of Molecular Plant Physiology ,Potsdam,inquire,English,6 semesters,Any time,Structured research and supervision,Potsdam,Potsdam,Brandenburg
165,166,PhD / Doctorate,International PhD Programme (IPP) Literary and Cultural Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3695/,Justus Liebig University Giessen ,Gießen,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Gießen,Gießen,Hesse
166,167,PhD / Doctorate,"International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3740/,Justus Liebig University Giessen ,Gießen,inquire,English,6 semesters,Winter semester,Structured research and supervision,Gießen,Gießen,Hesse
167,168,PhD / Doctorate,"International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7032/,University of Hohenheim ,Stuttgart,inquire,English,6 semesters,Winter semester,Structured research and supervision,Stuttgart,Stuttgart,Baden-Württemberg
168,169,PhD / Doctorate,"International PhD Programme on Gene Regulation, Epigenetics and Genome Stability",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4374/,Institute of Molecular Biology (IMB) ,Mainz,inquire,English,6 semesters,Any time,Structured research and supervision,Mainz,Mainz,Rhineland-Palatinate
169,170,PhD / Doctorate,International PhD Programme: Science and Health in Football,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4720/,Saarland University ,Saarbrücken,inquire,English,6 semesters,Any time,Structured research and supervision,Saarbrücken,Saarbrücken,Saarland
170,171,PhD / Doctorate,International Research Training Group 1902 - Intra- and Interorgan Communication of the Cardiovascular System,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4572/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,Any time,Structured research and supervision,Düsseldorf,Düsseldorf,North Rhine-Westphalia
171,172,PhD / Doctorate,International Research Training Group on Chemical Biology of Epigenetic Modifications,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6145/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
172,173,PhD / Doctorate,International School of Applied Mathematics (ISAM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4310/,Technische Universität München ,Garching b. München,inquire,English,6 semesters,Any time,Structured research and supervision,Garching bei München,Garching bei München,Bavaria
173,174,PhD / Doctorate,International ZIBI Graduate School for Infectious Diseases and Immunology Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6117/,Freie Universität Berlin ,Berlin,inquire,English,8 semesters,Any time,Structured research and supervision,Berlin,Berlin,Berlin
174,175,PhD / Doctorate,IPAG - International PhD Programme in Agricultural Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3668/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision,Göttingen,Göttingen,Lower Saxony
175,176,PhD / Doctorate,Jena School for Microbial Communication (JSMC),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4005/,Friedrich Schiller University Jena ,Jena,inquire,English,7 semesters,Any time,Structured research and supervision,Jena,Jena,Thuringia
176,177,PhD / Doctorate,"Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4534/,Technische Universität Dresden ,Dresden,inquire,English,7 semesters,"Winter semester, Summer semester",Structured research and supervision,Dresden,Dresden,Saxony
177,178,PhD / Doctorate,Joint Research Academy in Biomedical Engineering and Science of Hearing and Sensory Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4457/,University of Oldenburg ,Oldenburg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Oldenburg,Oldenburg,Lower Saxony
178,179,Graduate school,Karlsruhe School of Elementary Particle and Astroparticle Physics (KSETA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6180/,Karlsruhe Institute of Technology ,Karlsruhe,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Karlsruhe,Karlsruhe,Baden-Württemberg
179,180,PhD / Doctorate,Konstanz Research School Chemical Biology (KoRS-CB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4039/,University of Konstanz ,Konstanz,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Konstanz,Konstanz,Baden-Württemberg
180,181,PhD / Doctorate,Leibniz Graduate School on Aging and Age-Related Diseases (LGSA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4426/,Leibniz Institute on Aging - Fritz Lipmann Institute e.V. (FLI) ,Jena,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision,Jena,Jena,Thuringia
181,182,PhD / Doctorate,"Mainz Research School of Translational Biomedicine (TransMed), International PhD Programme in Life Sciences",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4647/,Johannes Gutenberg University Mainz ,Mainz,inquire,English,6 semesters,Any time,Structured research and supervision,Mainz,Mainz,Rhineland-Palatinate
182,183,Graduate school,MArburg University Research Academy (MARA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5258/,Philipps-Universität Marburg ,Marburg,inquire,English,6 semesters,Any time,Structured research and supervision,Marburg,Marburg,Hesse
183,184,PhD / Doctorate,Max Planck Graduate Center for Quantum Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6167/,Max Planck Institute for Solid State Research ,Stuttgart,inquire,English,8 semesters,Any time,Structured research and supervision,Stuttgart,Stuttgart,Baden-Württemberg
184,185,PhD / Doctorate,Max Planck School Matter to Life – Combined Master's & PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7037/,Universität Heidelberg ,Heidelberg,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Heidelberg,Heidelberg,Baden-Württemberg
185,186,PhD / Doctorate,Max Planck School of Photonics – PhD Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5586/,Friedrich Schiller University Jena ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision,Jena,Jena,Thuringia
186,187,PhD / Doctorate,MD/PhD Programme: Molecular Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3966/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Winter semester,Structured research and supervision,Hanover,Hanover,Lower Saxony
187,188,PhD / Doctorate,MDC International PhD Programme in Biomedical Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4118/,Max Delbrück Center for Molecular Medicine (MDC) Berlin ,Berlin,inquire,English,More than 9 semesters,Any time,Structured research and supervision,Berlin,Berlin,Berlin
188,189,PhD / Doctorate,Munich Graduate School of Economics (MGSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3767/,Ludwig-Maximilians-Universität München ,München,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
189,190,PhD / Doctorate,Münster Graduate School of Evolution (MGSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4586/,University of Münster ,Münster,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Münster,Münster,North Rhine-Westphalia
