,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type,german_cities_dup,german_cities_y,german_states
63,64,Bachelor's degree,Bachelor of Science in Sustainable Systems Engineering (SSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5326/,University of Freiburg ,Freiburg im Breisgau,varied,"German, English",6 semesters,Winter semester,,,,Freiburg im Breisgau,Freiburg im Breisgau,Baden-Württemberg
64,65,Bachelor's degree,Bachelor of Science: Human Movement in Sports and Exercise,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4497/,University of Münster ,Münster,none,English,6 semesters,Winter semester,,,,Münster,Münster,North Rhine-Westphalia
65,66,Bachelor's degree,Bachelor's in Business Administration,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4392/,Kühne Logistics University ,Hamburg,"5.480,00",English,6 semesters,Winter semester,,,,Hamburg,Hamburg,Hamburg
66,67,Bachelor's degree,Bachelor's in Business Studies (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4080/,EBS Universität für Wirtschaft und Recht ,Oestrich-Winkel,"6.950,00",English,6 semesters,"Winter semester, Summer semester",,,,Oestrich-Winkel,Oestrich-Winkel,Hesse
67,68,Bachelor's degree,Bachelor's in International Business,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3603/,Technische Hochschule Nürnberg Georg Simon Ohm ,Nürnberg,none,English,7 semesters,Winter semester,,,,Nuremberg,Nuremberg,Bavaria
68,69,Bachelor's degree,Bachelor's in International Business Administration (BIBA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4099/,WHU - Otto Beisheim School of Management ,Vallendar,,English,6 semesters,Winter semester,,,,Vallendar,Vallendar,Rhineland-Palatinate
69,70,Bachelor's degree,Bachelor's in International Business and Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4248/,Technische Hochschule Nürnberg Georg Simon Ohm ,Nürnberg,none,"German, English",7 semesters,Winter semester,,,,Nuremberg,Nuremberg,Bavaria
70,71,Bachelor's degree,Bachelor's in Management & Technology (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4718/,Technische Universität München ,München,none,English,6 semesters,Winter semester,,,,Munich,Munich,Bavaria
71,72,Bachelor's degree,BEng in Business and Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4472/,University of Applied Sciences Würzburg-Schweinfurt ,Schweinfurt,none,English,7 semesters,Winter semester,,,,Schweinfurt,Schweinfurt,Bavaria
72,73,Bachelor's degree,BEng in Logistics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4471/,University of Applied Sciences Würzburg-Schweinfurt ,Schweinfurt,none,English,7 semesters,Winter semester,,,,Schweinfurt,Schweinfurt,Bavaria
