,german_cities
160,Bad Soden am Taunus (Hesse)
161,Bad Soden-Salmünster (Hesse)
162,Bad Sooden-Allendorf (Hesse)
163,Bad Staffelstein (Bavaria)
164,Bad Sulza (Thuringia)
165,Bad Sülze (Mecklenburg-Western Pomerania)
166,Bad Teinach-Zavelstein (Baden-Württemberg)
167,Bad Tennstedt (Thuringia)
168,Bad Tölz (Bavaria)
169,Bad Urach (Baden-Württemberg)
170,Bad Vilbel (Hesse)
171,Bad Waldsee (Baden-Württemberg)
172,Bad Wildbad (Baden-Württemberg)
173,Bad Wildungen (Hesse)
174,Bad Wilsnack (Brandenburg)
175,Bad Wimpfen (Baden-Württemberg)
176,Bad Windsheim (Bavaria)
177,Bad Wörishofen (Bavaria)
178,Bad Wünnenberg (North Rhine-Westphalia)
179,Bad Wurzach (Baden-Württemberg)
180,Baden-Baden (Baden-Württemberg)
181,Baesweiler (North Rhine-Westphalia)
182,Baiersdorf (Bavaria)
183,Balingen (Baden-Württemberg)
184,Ballenstedt (Saxony-Anhalt)
185,Balve (North Rhine-Westphalia)
186,Bamberg (Bavaria)
187,Barby (Elbe) (Saxony-Anhalt)
188,Bargteheide (Schleswig-Holstein)
189,Barmstedt (Schleswig-Holstein)
190,Bärnau (Bavaria)
191,Barntrup (North Rhine-Westphalia)
192,Barsinghausen (Lower Saxony)
193,Barth (Mecklenburg-Western Pomerania)
194,Baruth/Mark (Brandenburg)
195,Bassum (Lower Saxony)
196,Battenberg (Hesse)
197,Baumholder (Rhineland-Palatinate)
198,Baunach (Bavaria)
199,Baunatal (Hesse)
200,Bautzen (Saxony)
201,Bayreuth (Bavaria)
202,Bebra (Hesse)
203,Beckum (North Rhine-Westphalia)
204,Bedburg (North Rhine-Westphalia)
205,Beelitz (Brandenburg)
206,Beeskow (Brandenburg)
207,Beilngries (Bavaria)
208,Beilstein (Baden-Württemberg)
209,Belgern-Schildau (Saxony)
210,Bendorf (Rhineland-Palatinate)
211,Bensheim (Hesse)
212,Berching (Bavaria)
213,Berga/Elster (Thuringia)
214,Bergen (Lower Saxony)
215,Bergen auf Rügen (Mecklenburg-Western Pomerania)
216,Bergheim (North Rhine-Westphalia)
217,Bergisch Gladbach (North Rhine-Westphalia)
218,Bergkamen (North Rhine-Westphalia)
219,Bergneustadt (North Rhine-Westphalia)
220,Berlin (Berlin)
221,Bernau bei Berlin (Brandenburg)
222,Bernburg (Saxony-Anhalt)
223,Bernkastel-Kues (Rhineland-Palatinate)
224,Bernsdorf (Saxony)
225,Bernstadt a. d. Eigen (Saxony)
226,Bersenbrück (Lower Saxony)
227,Besigheim (Baden-Württemberg)
228,Betzdorf (Rhineland-Palatinate)
229,Betzenstein (Bavaria)
230,Beverungen (North Rhine-Westphalia)
231,Bexbach (Saarland)
232,Biberach an der Riß (Baden-Württemberg)
233,Biedenkopf (Hesse)
234,Bielefeld (North Rhine-Westphalia)
235,Biesenthal (Brandenburg)
236,Bietigheim-Bissingen (Baden-Württemberg)
237,Billerbeck (North Rhine-Westphalia)
238,Bingen am Rhein (Rhineland-Palatinate)
239,Birkenfeld (Rhineland-Palatinate)
240,Bischofsheim in der Rhön (Bavaria)
241,Bischofswerda (Saxony)
242,Bismark (Altmark) (Saxony-Anhalt)
243,Bitburg (Rhineland-Palatinate)
244,Bitterfeld-Wolfen (Saxony-Anhalt)
245,Blankenburg (Harz) (Saxony-Anhalt)
246,Blankenhain (Thuringia)
247,Blaubeuren (Baden-Württemberg)
248,Blaustein (Baden-Württemberg)
249,Bleckede (Lower Saxony)
250,Bleicherode (Thuringia)
251,Blieskastel (Saarland)
252,Blomberg (North Rhine-Westphalia)
253,Blumberg (Baden-Württemberg)
254,Bobingen (Bavaria)
255,Böblingen (Baden-Württemberg)
256,Bocholt (North Rhine-Westphalia)
257,Bochum (North Rhine-Westphalia)
258,Bockenem (Lower Saxony)
259,Bodenwerder (Lower Saxony)
260,Bogen (Bavaria)
261,Böhlen (Saxony)
262,Boizenburg (Mecklenburg-Western Pomerania)
263,Bonn (North Rhine-Westphalia)
264,Bonndorf im Schwarzwald (Baden-Württemberg)
265,Bönnigheim (Baden-Württemberg)
266,Bopfingen (Baden-Württemberg)
267,Boppard (Rhineland-Palatinate)
268,Borgentreich (North Rhine-Westphalia)
269,Borgholzhausen (North Rhine-Westphalia)
270,Borken (North Rhine-Westphalia)
271,Borken (Hesse) (Hesse)
272,Borkum (Lower Saxony)
273,Borna (Saxony)
274,Bornheim (North Rhine-Westphalia)
275,Bottrop (North Rhine-Westphalia)
276,Boxberg (Baden-Württemberg)
277,Brackenheim (Baden-Württemberg)
278,Brake (Unterweser) (Lower Saxony)
279,Brakel (North Rhine-Westphalia)
280,Bramsche (Lower Saxony)
281,Brandenburg an der Havel (Brandenburg)
282,Brand-Erbisdorf (Saxony)
283,Brandis (Saxony)
284,Braubach (Rhineland-Palatinate)
285,Braunfels (Hesse)
286,Braunlage (Lower Saxony)
287,Bräunlingen (Baden-Württemberg)
288,Braunsbedra (Saxony-Anhalt)
289,Braunschweig (Lower Saxony)
290,Breckerfeld (North Rhine-Westphalia)
291,Bredstedt (Schleswig-Holstein)
292,Breisach (Baden-Württemberg)
293,Bremen (Bremen)
294,Bremerhaven (Bremen)
295,Bremervörde (Lower Saxony)
296,Bretten (Baden-Württemberg)
297,Breuberg (Hesse)
298,Brilon (North Rhine-Westphalia)
299,Brotterode-Trusetal (Thuringia)
300,Bruchköbel (Hesse)
301,Bruchsal (Baden-Württemberg)
302,Brück (Brandenburg)
303,Brüel (Mecklenburg-Western Pomerania)
304,Brühl (North Rhine-Westphalia)
305,Brunsbüttel (Schleswig-Holstein)
306,Brüssow (Brandenburg)
307,Buchen (Odenwald) (Baden-Württemberg)
308,Buchholz in der Nordheide (Lower Saxony)
309,Buchloe (Bavaria)
310,Bückeburg (Lower Saxony)
311,Buckow (Brandenburg)
312,Büdelsdorf (Schleswig-Holstein)
313,Büdingen (Hesse)
314,Bühl (Baden-Württemberg)
315,Bünde (North Rhine-Westphalia)
316,Büren (North Rhine-Westphalia)
317,Burg (Saxony-Anhalt)
318,Burgau (Bavaria)
319,Burgbernheim (Bavaria)
320,Burgdorf (Lower Saxony)
321,Bürgel (Thuringia)
322,Burghausen (Bavaria)
323,Burgkunstadt (Bavaria)
324,Burglengenfeld (Bavaria)
325,Burgstädt (Saxony)
326,Burg Stargard (Mecklenburg-Western Pomerania)
327,Burgwedel (Lower Saxony)
328,Burladingen (Baden-Württemberg)
329,Burscheid (North Rhine-Westphalia)
330,Bürstadt (Hesse)
331,Butzbach (Hesse)
332,Bützow (Mecklenburg-Western Pomerania)
333,Buxtehude (Lower Saxony)
334,Calau (Brandenburg)
335,Calbe (Saale) (Saxony-Anhalt)
336,Calw (Baden-Württemberg)
337,Castrop-Rauxel (North Rhine-Westphalia)
338,Celle (Lower Saxony)
339,Cham (Bavaria)
340,Chemnitz (Saxony)
341,Clausthal-Zellerfeld (Lower Saxony)
342,Clingen (Thuringia)
343,Cloppenburg (Lower Saxony)
344,Coburg (Bavaria)
345,Cochem (Rhineland-Palatinate)
346,Coesfeld (North Rhine-Westphalia)
347,Colditz (Saxony)
348,Cologne (North Rhine-Westphalia)
349,Coswig (Saxony)
350,Coswig (Anhalt) (Saxony-Anhalt)
351,Cottbus (Brandenburg)
352,Crailsheim (Baden-Württemberg)
353,Creglingen (Baden-Württemberg)
354,Creußen (Bavaria)
355,Crimmitschau (Saxony)
356,Crivitz (Mecklenburg-Western Pomerania)
357,Cuxhaven (Lower Saxony)
358,Daaden (Rhineland-Palatinate)
359,Dachau (Bavaria)
360,Dahlen (Saxony)
361,Dahme/Mark (Brandenburg)
362,Dahn (Rhineland-Palatinate)
363,Damme (Lower Saxony)
364,Dannenberg (Elbe) (Lower Saxony)
365,Dargun (Mecklenburg-Western Pomerania)
366,Darmstadt (Hesse)
367,Dassel (Lower Saxony)
368,Dassow (Mecklenburg-Western Pomerania)
369,Datteln (North Rhine-Westphalia)
370,Daun (Rhineland-Palatinate)
371,Deggendorf (Bavaria)
372,Deidesheim (Rhineland-Palatinate)
373,Delbrück (North Rhine-Westphalia)
374,Delitzsch (Saxony)
375,Delmenhorst (Lower Saxony)
376,Demmin (Mecklenburg-Western Pomerania)
377,Dessau-Roßlau (Saxony-Anhalt)
378,Detmold (North Rhine-Westphalia)
379,Dettelbach (Bavaria)
380,Dieburg (Hesse)
381,Diemelstadt (Hesse)
382,Diepholz (Lower Saxony)
383,Dierdorf (Rhineland-Palatinate)
384,Dietenheim (Baden-Württemberg)
385,Dietfurt an der Altmühl (Bavaria)
386,Dietzenbach (Hesse)
387,Diez (Rhineland-Palatinate)
388,Dillenburg (Hesse)
389,Dillingen an der Donau (Bavaria)
390,Dillingen/Saar (Saarland)
391,Dingelstädt (Thuringia)
392,Dingolfing (Bavaria)
393,Dinkelsbühl (Bavaria)
394,Dinklage (Lower Saxony)
395,Dinslaken (North Rhine-Westphalia)
396,Dippoldiswalde (Saxony)
397,Dissen am Teutoburger Wald (Lower Saxony)
398,Ditzingen (Baden-Württemberg)
399,Döbeln (Saxony)
400,Doberlug-Kirchhain (Brandenburg)
401,Döbern (Brandenburg)
402,Dohna (Saxony)
403,Dömitz (Mecklenburg-Western Pomerania)
404,Dommitzsch (Saxony)
405,Donaueschingen (Baden-Württemberg)
406,Donauwörth (Bavaria)
407,Donzdorf (Baden-Württemberg)
408,Dorfen (Bavaria)
409,Dormagen (North Rhine-Westphalia)
410,Dornburg-Camburg (Thuringia)
411,Dornhan (Baden-Württemberg)
412,Dornstetten (Baden-Württemberg)
413,Dorsten (North Rhine-Westphalia)
414,Dortmund (North Rhine-Westphalia)
415,Dransfeld (Lower Saxony)
416,Drebkau (Brandenburg)
417,Dreieich (Hesse)
418,Drensteinfurt (North Rhine-Westphalia)
419,Dresden (Saxony)
