,german_cities
732,Harzgerode (Saxony-Anhalt)
733,Haselünne (Lower Saxony)
734,Haslach im Kinzigtal (Baden-Württemberg)
735,Haßfurt (Bavaria)
736,Hattersheim am Main (Hesse)
737,Hattingen (North Rhine-Westphalia)
738,Hatzfeld (Eder) (Hesse)
739,Hausach (Baden-Württemberg)
740,Hauzenberg (Bavaria)
741,Havelberg (Saxony-Anhalt)
742,Havelsee (Brandenburg)
743,Hayingen (Baden-Württemberg)
744,Hechingen (Baden-Württemberg)
745,Hecklingen (Saxony-Anhalt)
746,Heide (Schleswig-Holstein)
747,Heideck (Bavaria)
748,Heidelberg (Baden-Württemberg)
749,Heidenau (Saxony)
750,Heidenheim an der Brenz (Baden-Württemberg)
751,Heilbad Heiligenstadt (Thuringia)
752,Heilbronn (Baden-Württemberg)
753,Heiligenhafen (Schleswig-Holstein)
754,Heiligenhaus (North Rhine-Westphalia)
755,Heilsbronn (Bavaria)
756,Heimbach (North Rhine-Westphalia)
757,Heimsheim (Baden-Württemberg)
758,Heinsberg (North Rhine-Westphalia)
759,Heitersheim (Baden-Württemberg)
760,Heldburg (Thuringia)
761,Helmbrechts (Bavaria)
762,Helmstedt (Lower Saxony)
763,Hemau (Bavaria)
764,Hemer (North Rhine-Westphalia)
765,Hemmingen (Lower Saxony)
766,Hemmoor (Lower Saxony)
767,Hemsbach (Baden-Württemberg)
768,Hennef (Sieg) (North Rhine-Westphalia)
769,Hennigsdorf (Brandenburg)
770,Heppenheim (Hesse)
771,Herbolzheim (Baden-Württemberg)
772,Herborn (Hesse)
773,Herbrechtingen (Baden-Württemberg)
774,Herbstein (Hesse)
775,Herdecke (North Rhine-Westphalia)
776,Herdorf (Rhineland-Palatinate)
777,Herford (North Rhine-Westphalia)
778,Heringen/Helme (Thuringia)
779,Heringen (Hesse)
780,Hermeskeil (Rhineland-Palatinate)
781,Hermsdorf (Thuringia)
782,Herne (North Rhine-Westphalia)
783,Herrenberg (Baden-Württemberg)
784,Herrieden (Bavaria)
785,Herrnhut (Saxony)
786,Hersbruck (Bavaria)
787,Herten (North Rhine-Westphalia)
788,Herzberg am Harz (Lower Saxony)
789,Herzberg (Elster) (Brandenburg)
790,Herzogenaurach (Bavaria)
791,Herzogenrath (North Rhine-Westphalia)
792,Hessisch Lichtenau (Hesse)
793,Hessisch Oldendorf (Lower Saxony)
794,Hettingen (Baden-Württemberg)
795,Hettstedt (Saxony-Anhalt)
796,Heubach (Baden-Württemberg)
797,Heusenstamm (Hesse)
798,Hilchenbach (North Rhine-Westphalia)
799,Hildburghausen (Thuringia)
800,Hilden (North Rhine-Westphalia)
801,Hildesheim (Lower Saxony)
802,Hillesheim (Rhineland-Palatinate)
803,Hilpoltstein (Bavaria)
804,Hirschau (Bavaria)
805,Hirschberg (Thuringia)
806,Hirschhorn (Neckar) (Hesse)
807,Hitzacker (Lower Saxony)
808,Hochheim am Main (Hesse)
809,Höchstadt an der Aisch (Bavaria)
810,Höchstädt an der Donau (Bavaria)
811,Hockenheim (Baden-Württemberg)
812,Hof (Bavaria)
813,Hofgeismar (Hesse)
814,Hofheim am Taunus (Hesse)
815,Hofheim (Bavaria)
816,Hohenberg an der Eger (Bavaria)
817,Hohenleuben (Thuringia)
818,Hohenmölsen (Saxony-Anhalt)
819,Hohen Neuendorf (Brandenburg)
820,Hohenstein-Ernstthal (Saxony)
821,Hohnstein (Saxony)
822,Höhr-Grenzhausen (Rhineland-Palatinate)
823,Hollfeld (Bavaria)
824,Holzgerlingen (Baden-Württemberg)
825,Holzminden (Lower Saxony)
826,Homberg (Efze) (Hesse)
827,Homberg (Ohm) (Hesse)
828,Homburg (Saar) (Saarland)
829,Horb am Neckar (Baden-Württemberg)
830,Hornbach (Rhineland-Palatinate)
831,Horn-Bad Meinberg (North Rhine-Westphalia)
832,Hornberg (Baden-Württemberg)
833,Hörstel (North Rhine-Westphalia)
834,Horstmar (North Rhine-Westphalia)
835,Höxter (North Rhine-Westphalia)
836,Hoya (Lower Saxony)
837,Hoyerswerda (Saxony)
838,Hückelhoven (North Rhine-Westphalia)
839,Hückeswagen (North Rhine-Westphalia)
840,Hüfingen (Baden-Württemberg)
841,Hünfeld (Hesse)
842,Hungen (Hesse)
843,Hürth (North Rhine-Westphalia)
844,Husum (Schleswig-Holstein)
845,Ibbenbüren (North Rhine-Westphalia)
846,Ichenhausen (Bavaria)
847,Idar-Oberstein (Rhineland-Palatinate)
848,Idstein (Hesse)
849,Illertissen (Bavaria)
850,Ilmenau (Thuringia)
851,Ilsenburg (Saxony-Anhalt)
852,Ilshofen (Baden-Württemberg)
853,Immenhausen (Hesse)
854,Immenstadt im Allgäu (Bavaria)
855,Ingelfingen (Baden-Württemberg)
856,Ingelheim am Rhein (Rhineland-Palatinate)
857,Ingolstadt (Bavaria)
858,Iphofen (Bavaria)
859,Iserlohn (North Rhine-Westphalia)
860,Isny im Allgäu (Baden-Württemberg)
861,Isselburg (North Rhine-Westphalia)
862,Itzehoe (Schleswig-Holstein)
863,Jarmen (Mecklenburg-Western Pomerania)
864,Jena (Thuringia)
865,Jerichow (Saxony-Anhalt)
866,Jessen (Elster) (Saxony-Anhalt)
867,Jever (Lower Saxony)
868,Joachimsthal (Brandenburg)
869,Johanngeorgenstadt (Saxony)
870,Jöhstadt (Saxony)
871,Jüchen (North Rhine-Westphalia)
872,Jülich (North Rhine-Westphalia)
873,Jüterbog (Brandenburg)
874,Kaarst (North Rhine-Westphalia)
875,Kahla (Thuringia)
876,Kaisersesch (Rhineland-Palatinate)
877,Kaiserslautern (Rhineland-Palatinate)
878,Kalbe (Milde) (Saxony-Anhalt)
879,Kalkar (North Rhine-Westphalia)
880,Kaltenkirchen (Schleswig-Holstein)
881,Kaltennordheim (Thuringia)
882,Kamen (North Rhine-Westphalia)
883,Kamenz (Saxony)
884,Kamp-Lintfort (North Rhine-Westphalia)
885,Kandel (Rhineland-Palatinate)
886,Kandern (Baden-Württemberg)
887,Kappeln (Schleswig-Holstein)
888,Karben (Hesse)
889,Karlsruhe (Baden-Württemberg)
890,Karlstadt (Bavaria)
891,Kassel (Hesse)
892,Kastellaun (Rhineland-Palatinate)
893,Katzenelnbogen (Rhineland-Palatinate)
894,Kaub (Rhineland-Palatinate)
895,Kaufbeuren (Bavaria)
896,Kehl (Baden-Württemberg)
897,Kelbra (Kyffhäuser) (Saxony-Anhalt)
898,Kelheim (Bavaria)
899,Kelkheim (Taunus) (Hesse)
900,Kellinghusen (Schleswig-Holstein)
901,Kelsterbach (Hesse)
902,Kemberg (Saxony-Anhalt)
903,Kemnath (Bavaria)
904,Kempen (North Rhine-Westphalia)
905,Kempten im Allgäu (Bavaria)
906,Kenzingen (Baden-Württemberg)
907,Kerpen (North Rhine-Westphalia)
908,Ketzin/Havel (Brandenburg)
909,Kevelaer (North Rhine-Westphalia)
910,Kiel (Schleswig-Holstein)
911,Kierspe (North Rhine-Westphalia)
912,Kirchberg (Saxony)
913,Kirchberg an der Jagst (Baden-Württemberg)
914,Kirchberg (Hunsrück) (Rhineland-Palatinate)
915,Kirchen (Sieg) (Rhineland-Palatinate)
916,Kirchenlamitz (Bavaria)
917,Kirchhain (Hesse)
918,Kirchheimbolanden (Rhineland-Palatinate)
919,Kirchheim unter Teck (Baden-Württemberg)
920,Kirn (Rhineland-Palatinate)
921,Kirtorf (Hesse)
922,Kitzingen (Bavaria)
923,Kitzscher (Saxony)
924,Kleve (North Rhine-Westphalia)
925,Klingenberg am Main (Bavaria)
926,Klingenthal/Sa. (Saxony)
927,Klötze (Saxony-Anhalt)
928,Klütz (Mecklenburg-Western Pomerania)
929,Knittlingen (Baden-Württemberg)
930,Koblenz (Rhineland-Palatinate)
931,Kolbermoor (Bavaria)
932,Kölleda (Thuringia)
933,Königsberg in Bayern (Bavaria)
934,Königsbrück (Saxony)
935,Königsbrunn (Bavaria)
936,Königsee (Thuringia)
937,Königslutter (Lower Saxony)
938,Königstein im Taunus (Hesse)
939,Königstein (Sächsische Schweiz) (Saxony)
940,Königswinter (North Rhine-Westphalia)
941,Königs Wusterhausen (Brandenburg)
942,Könnern (Saxony-Anhalt)
943,Konstanz (Baden-Württemberg)
944,Konz (Rhineland-Palatinate)
945,Korbach (Hesse)
946,Korntal-Münchingen (Baden-Württemberg)
947,Kornwestheim (Baden-Württemberg)
948,Korschenbroich (North Rhine-Westphalia)
949,Köthen (Saxony-Anhalt)
950,Kraichtal (Baden-Württemberg)
951,Krakow am See (Mecklenburg-Western Pomerania)
952,Kranichfeld (Thuringia)
953,Krautheim (Baden-Württemberg)
954,Krefeld (North Rhine-Westphalia)
955,Kremmen (Brandenburg)
956,Krempe (Schleswig-Holstein)
957,Kreuztal (North Rhine-Westphalia)
958,Kronach (Bavaria)
959,Kronberg im Taunus (Hesse)
960,Kröpelin (Mecklenburg-Western Pomerania)
961,Kroppenstedt (Saxony-Anhalt)
962,Krumbach (Schwaben) (Bavaria)
963,Kühlungsborn (Mecklenburg-Western Pomerania)
964,Kulmbach (Bavaria)
965,Külsheim (Baden-Württemberg)
966,Künzelsau (Baden-Württemberg)
967,Kupferberg (Bavaria)
968,Kuppenheim (Baden-Württemberg)
969,Kusel (Rhineland-Palatinate)
970,Kyllburg (Rhineland-Palatinate)
971,Kyritz (Brandenburg)
972,Laage (Mecklenburg-Western Pomerania)
973,Laatzen (Lower Saxony)
974,Ladenburg (Baden-Württemberg)
975,Lage (North Rhine-Westphalia)
976,Lahnstein (Rhineland-Palatinate)
977,Lahr/Schwarzwald (Baden-Württemberg)
978,Laichingen (Baden-Württemberg)
979,Lambrecht (Pfalz) (Rhineland-Palatinate)
980,Lampertheim (Hesse)
981,Landau an der Isar (Bavaria)
982,Landau in der Pfalz (Rhineland-Palatinate)
983,Landsberg am Lech (Bavaria)
984,Landsberg (Saxony-Anhalt)
985,Landshut (Bavaria)
986,Landstuhl (Rhineland-Palatinate)
987,Langelsheim (Lower Saxony)
988,Langen (Hesse) (Hesse)
989,Langenau (Baden-Württemberg)
990,Langenburg (Baden-Württemberg)
991,Langenfeld (Rhineland) (North Rhine-Westphalia)
992,Langenhagen (Lower Saxony)
993,Langenselbold (Hesse)
994,Langenzenn (Bavaria)
995,Lassan (Mecklenburg-Western Pomerania)
996,Laubach (Hesse)
997,Laucha an der Unstrut (Saxony-Anhalt)
998,Lauchhammer (Brandenburg)
999,Lauchheim (Baden-Württemberg)
1000,Lauda-Königshofen (Baden-Württemberg)
1001,Lauenburg (Schleswig-Holstein)
1002,Lauf an der Pegnitz (Bavaria)
1003,Laufen (Bavaria)
1004,Laufenburg (Baden-Württemberg)
1005,Lauffen am Neckar (Baden-Württemberg)
1006,Lauingen (Donau) (Bavaria)
1007,Laupheim (Baden-Württemberg)
1008,Lauscha (Thuringia)
1009,Lauta (Saxony)
1010,Lauter-Bernsbach (Saxony)
1011,Lauterbach (Hesse) (Hesse)
1012,Lauterecken (Rhineland-Palatinate)
1013,Lauterstein (Baden-Württemberg)
1014,Lebach (Saarland)
1015,Lebus (Brandenburg)
1016,Leer (Lower Saxony)
1017,Lehesten (Thuringia)
1018,Lehrte (Lower Saxony)
1019,Leichlingen (North Rhine-Westphalia)
1020,Leimen (Baden-Württemberg)
1021,Leinefelde-Worbis (Thuringia)
1022,Leinfelden-Echterdingen (Baden-Württemberg)
1023,Leingarten (Baden-Württemberg)
1024,Leipheim (Bavaria)
1025,Leipzig (Saxony)
1026,Leisnig (Saxony)
1027,Lemgo (North Rhine-Westphalia)
1028,Lengenfeld (Saxony)
1029,Lengerich (North Rhine-Westphalia)
1030,Lennestadt (North Rhine-Westphalia)
1031,Lenzen (Brandenburg)
1032,Leonberg (Baden-Württemberg)
1033,Leun (Hesse)
1034,Leuna (Saxony-Anhalt)
1035,Leutenberg (Thuringia)
1036,Leutershausen (Bavaria)
1037,Leutkirch im Allgäu (Baden-Württemberg)
1038,Leverkusen (North Rhine-Westphalia)
1039,Lich (Hesse)
1040,Lichtenau (Baden-Württemberg)
1041,Lichtenau (North Rhine-Westphalia)
1042,Lichtenberg (Bavaria)
1043,Lichtenfels (Bavaria)
1044,Lichtenfels (Hesse)
1045,Lichtenstein/Sa. (Saxony)
1046,Liebenau (Hesse)
1047,Liebenwalde (Brandenburg)
1048,Lieberose (Brandenburg)
1049,Liebstadt (Saxony)
1050,Limbach-Oberfrohna (Saxony)
1051,Limburg an der Lahn (Hesse)
1052,Lindau (Bodensee) (Bavaria)
1053,Linden (Hesse)
1054,Lindenberg im Allgäu (Bavaria)
1055,Lindenfels (Hesse)
1056,Lindow (Mark) (Brandenburg)
1057,Lingen (Lower Saxony)
1058,Linnich (North Rhine-Westphalia)
1059,Linz am Rhein (Rhineland-Palatinate)
1060,Lippstadt (North Rhine-Westphalia)
1061,Löbau (Saxony)
1062,Löffingen (Baden-Württemberg)
1063,Lohmar (North Rhine-Westphalia)
1064,Lohne (Lower Saxony)
1065,Löhne (North Rhine-Westphalia)
1066,Lohr am Main (Bavaria)
1067,Loitz (Mecklenburg-Western Pomerania)
1068,Lollar (Hesse)
1069,Lommatzsch (Saxony)
1070,Löningen (Lower Saxony)
1071,Lorch (Baden-Württemberg)
1072,Lorch (Hesse)
1073,Lörrach (Baden-Württemberg)
1074,Lorsch (Hesse)
1075,Lößnitz (Saxony)
1076,Löwenstein (Baden-Württemberg)
1077,Lübbecke (North Rhine-Westphalia)
1078,Lübben (Spreewald) (Brandenburg)
1079,Lübbenau (Brandenburg)
1080,Lübeck (Schleswig-Holstein)
1081,Lübtheen (Mecklenburg-Western Pomerania)
1082,Lübz (Mecklenburg-Western Pomerania)
1083,Lüchow (Wendland) (Lower Saxony)
1084,Lucka (Thuringia)
1085,Luckau (Brandenburg)
1086,Luckenwalde (Brandenburg)
1087,Lüdenscheid (North Rhine-Westphalia)
1088,Lüdinghausen (North Rhine-Westphalia)
1089,Ludwigsburg (Baden-Württemberg)
1090,Ludwigsfelde (Brandenburg)
1091,Ludwigshafen am Rhein (Rhineland-Palatinate)
1092,Ludwigslust (Mecklenburg-Western Pomerania)
1093,Ludwigsstadt (Bavaria)
1094,Lugau/Erzgeb. (Saxony)
1095,Lügde (North Rhine-Westphalia)
1096,Lüneburg (Lower Saxony)
1097,Lünen (North Rhine-Westphalia)
1098,Lunzenau (Saxony)
1099,Lütjenburg (Schleswig-Holstein)
1100,Lützen (Saxony-Anhalt)
1101,Lychen (Brandenburg)
1102,Magdala (Thuringia)
1103,Magdeburg (Saxony-Anhalt)
1104,Mahlberg (Baden-Württemberg)
1105,Mainbernheim (Bavaria)
1106,Mainburg (Bavaria)
1107,Maintal (Hesse)
1108,Mainz (Rhineland-Palatinate)
1109,Malchin (Mecklenburg-Western Pomerania)
1110,Malchow (Mecklenburg-Western Pomerania)
1111,Mannheim (Baden-Württemberg)
1112,Manderscheid (Rhineland-Palatinate)
1113,Mansfeld (Saxony-Anhalt)
1114,Marbach am Neckar (Baden-Württemberg)
1115,Marburg (Hesse)
1116,Marienberg (Saxony)
1117,Marienmünster (North Rhine-Westphalia)
1118,Markdorf (Baden-Württemberg)
1119,Markgröningen (Baden-Württemberg)
1120,Märkisch Buchholz (Brandenburg)
1121,Markkleeberg (Saxony)
1122,Markneukirchen (Saxony)
1123,Markranstädt (Saxony)
1124,Marktbreit (Bavaria)
1125,Marktheidenfeld (Bavaria)
1126,Marktleuthen (Bavaria)
1127,Marktoberdorf (Bavaria)
1128,Marktredwitz (Bavaria)
1129,Marktsteft (Bavaria)
1130,Marl (North Rhine-Westphalia)
1131,Marlow (Mecklenburg-Western Pomerania)
1132,Marne (Schleswig-Holstein)
1133,Marsberg (North Rhine-Westphalia)
1134,Maulbronn (Baden-Württemberg)
1135,Maxhütte-Haidhof (Bavaria)
1136,Mayen (Rhineland-Palatinate)
1137,Mechernich (North Rhine-Westphalia)
1138,Meckenheim (North Rhine-Westphalia)
1139,Medebach (North Rhine-Westphalia)
1140,Meerane (Saxony)
1141,Meerbusch (North Rhine-Westphalia)
1142,Meersburg (Baden-Württemberg)
1143,Meinerzhagen (North Rhine-Westphalia)
1144,Meiningen (Thuringia)
1145,Meisenheim (Rhineland-Palatinate)
1146,Meißen (Saxony)
1147,Meldorf (Schleswig-Holstein)
1148,Melle (Lower Saxony)
1149,Mellrichstadt (Bavaria)
1150,Melsungen (Hesse)
1151,Memmingen (Bavaria)
1152,Menden (Sauerland) (North Rhine-Westphalia)
1153,Mendig (Rhineland-Palatinate)
1154,Mengen (Baden-Württemberg)
1155,Meppen (Lower Saxony)
1156,Merkendorf (Bavaria)
1157,Merseburg (Saxony-Anhalt)
1158,Merzig (Saarland)
1159,Meschede (North Rhine-Westphalia)
1160,Meßkirch (Baden-Württemberg)
1161,Meßstetten (Baden-Württemberg)
1162,Mettmann (North Rhine-Westphalia)
1163,Metzingen (Baden-Württemberg)
1164,Meuselwitz (Thuringia)
1165,Meyenburg (Brandenburg)
1166,Michelstadt (Hesse)
1167,Miesbach (Bavaria)
1168,Miltenberg (Bavaria)
1169,Mindelheim (Bavaria)
1170,Minden (North Rhine-Westphalia)
1171,Mirow (Mecklenburg-Western Pomerania)
1172,Mittenwalde (Brandenburg)
1173,Mitterteich (Bavaria)
1174,Mittweida (Saxony)
1175,Möckern (Saxony-Anhalt)
1176,Möckmühl (Baden-Württemberg)
1177,Moers (North Rhine-Westphalia)
1178,Mölln (Schleswig-Holstein)
1179,Mönchengladbach (North Rhine-Westphalia)
1180,Monheim am Rhein (North Rhine-Westphalia)
1181,Monheim (Bavaria)
1182,Monschau (North Rhine-Westphalia)
1183,Montabaur (Rhineland-Palatinate)
1184,Moosburg (Bavaria)
1185,Mörfelden-Walldorf (Hesse)
1186,Moringen (Lower Saxony)
1187,Mosbach (Baden-Württemberg)
1188,Mössingen (Baden-Württemberg)
1189,Mücheln (Geiseltal) (Saxony-Anhalt)
1190,Mügeln (Saxony)
1191,Mühlacker (Baden-Württemberg)
1192,Mühlberg (Elbe) (Brandenburg)
1193,Mühldorf (Bavaria)
1194,Mühlhausen (Thuringia)
1195,Mühlheim am Main (Hesse)
1196,Mühlheim an der Donau (Baden-Württemberg)
1197,Mülheim an der Ruhr (North Rhine-Westphalia)
1198,Mülheim-Kärlich (Rhineland-Palatinate)
1199,Müllheim (Baden-Württemberg)
1200,Müllrose (Brandenburg)
1201,Münchberg (Bavaria)
1202,Müncheberg (Brandenburg)
1203,Münchenbernsdorf (Thuringia)
1204,Munderkingen (Baden-Württemberg)
1205,Munich (Bavaria)
1206,Münnerstadt (Bavaria)
1207,Münsingen (Baden-Württemberg)
1208,Munster (Lower Saxony)
1209,Münster (North Rhine-Westphalia)
1210,Münstermaifeld (Rhineland-Palatinate)
1211,Münzenberg (Hesse)
1212,Murrhardt (Baden-Württemberg)
1213,Nabburg (Bavaria)
1214,Nagold (Baden-Württemberg)
1215,Naila (Bavaria)
1216,Nassau (Rhineland-Palatinate)
1217,Nastätten (Rhineland-Palatinate)
1218,Nauen (Brandenburg)
1219,Naumburg (Hesse) (Hesse)
1220,Naumburg (Saxony-Anhalt)
1221,Naunhof (Saxony)
1222,Nebra (Saxony-Anhalt)
1223,Neckarbischofsheim (Baden-Württemberg)
1224,Neckargemünd (Baden-Württemberg)
1225,Neckarsteinach (Hesse)
1226,Neckarsulm (Baden-Württemberg)
1227,Neresheim (Baden-Württemberg)
1228,Netphen (North Rhine-Westphalia)
1229,Nettetal (North Rhine-Westphalia)
1230,Netzschkau (Saxony)
1231,Neu-Anspach (Hesse)
1232,Neubrandenburg (Mecklenburg-Western Pomerania)
1233,Neubukow (Mecklenburg-Western Pomerania)
1234,Neubulach (Baden-Württemberg)
1235,Neuburg an der Donau (Bavaria)
1236,Neudenau (Baden-Württemberg)
1237,Neuenbürg (Baden-Württemberg)
1238,Neuenburg am Rhein (Baden-Württemberg)
1239,Neuenhaus (Lower Saxony)
1240,Neuenrade (North Rhine-Westphalia)
1241,Neuenstadt am Kocher (Baden-Württemberg)
1242,Neuenstein (Baden-Württemberg)
1243,Neuerburg (Rhineland-Palatinate)
1244,Neuffen (Baden-Württemberg)
1245,Neuhaus am Rennweg (Thuringia)
1246,Neu-Isenburg (Hesse)
1247,Neukalen (Mecklenburg-Western Pomerania)
1248,Neukirchen (Hesse)
1249,Neukirchen-Vluyn (North Rhine-Westphalia)
1250,Neukloster (Mecklenburg-Western Pomerania)
1251,Neumark (Thuringia)
1252,Neumarkt in der Oberpfalz (Bavaria)
1253,Neumarkt-Sankt Veit (Bavaria)
1254,Neumünster (Schleswig-Holstein)
1255,Neunburg vorm Wald (Bavaria)
1256,Neunkirchen (Saarland)
1257,Neuötting (Bavaria)
1258,Neuruppin (Brandenburg)
1259,Neusalza-Spremberg (Saxony)
1260,Neusäß (Bavaria)
1261,Neuss (North Rhine-Westphalia)
1262,Neustadt an der Aisch (Bavaria)
1263,Neustadt an der Donau (Bavaria)
1264,Neustadt an der Waldnaab (Bavaria)
1265,Neustadt am Kulm (Bavaria)
1266,Neustadt am Rübenberge (Lower Saxony)
1267,Neustadt an der Orla (Thuringia)
1268,Neustadt an der Weinstraße (Rhineland-Palatinate)
1269,Neustadt bei Coburg (Bavaria)
1270,Neustadt (Dosse) (Brandenburg)
1271,Neustadt-Glewe (Mecklenburg-Western Pomerania)
1272,Neustadt (Hesse) (Hesse)
1273,Neustadt in Holstein (Schleswig-Holstein)
1274,Neustadt in Sachsen (Saxony)
1275,Neustrelitz (Mecklenburg-Western Pomerania)
1276,Neutraubling (Bavaria)
1277,Neu-Ulm (Bavaria)
1278,Neuwied (Rhineland-Palatinate)
1279,Nidda (Hesse)
1280,Niddatal (Hesse)
1281,Nidderau (Hesse)
1282,Nideggen (North Rhine-Westphalia)
1283,Niebüll (Schleswig-Holstein)
1284,Niedenstein (Hesse)
1285,Niederkassel (North Rhine-Westphalia)
1286,Niedernhall (Baden-Württemberg)
1287,Nieder-Olm (Rhineland-Palatinate)
1288,Niederstetten (Baden-Württemberg)
1289,Niederstotzingen (Baden-Württemberg)
1290,Nieheim (North Rhine-Westphalia)
1291,Niemegk (Brandenburg)
1292,Nienburg (Saale) (Saxony-Anhalt)
1293,Nienburg (Lower Saxony)
1294,Nierstein (Rhineland-Palatinate)
1295,Niesky (Saxony)
1296,Nittenau (Bavaria)
1297,Norden (Lower Saxony)
1298,Nordenham (Lower Saxony)
1299,Norderney (Lower Saxony)
1300,Norderstedt (Schleswig-Holstein)
1301,Nordhausen (Thuringia)
1302,Nordhorn (Lower Saxony)
1303,Nördlingen (Bavaria)
1304,Northeim (Lower Saxony)
1305,Nortorf (Schleswig-Holstein)
1306,Nossen (Saxony)
1307,Nottertal-Heilinger Höhen (Thuringia)
1308,Nuremberg (Bavaria)
1309,Nürtingen (Baden-Württemberg)
1310,Oberasbach (Bavaria)
1311,Oberharz am Brocken (Saxony-Anhalt)
1312,Oberhausen (North Rhine-Westphalia)
1313,Oberhof (Thuringia)
1314,Oberkirch (Baden-Württemberg)
1315,Oberkochen (Baden-Württemberg)
1316,Oberlungwitz (Saxony)
1317,Obermoschel (Rhineland-Palatinate)
1318,Obernburg am Main (Bavaria)
1319,Oberndorf am Neckar (Baden-Württemberg)
1320,Obernkirchen (Lower Saxony)
1321,Ober-Ramstadt (Hesse)
1322,Oberriexingen (Baden-Württemberg)
1323,Obertshausen (Hesse)
1324,Oberursel (Taunus) (Hesse)
1325,Oberviechtach (Bavaria)
1326,Oberwesel (Rhineland-Palatinate)
1327,"Oberwiesenthal, Kurort (Saxony)"
1328,Oberzent (Hesse)
1329,Ochsenfurt (Bavaria)
1330,Ochsenhausen (Baden-Württemberg)
1331,Ochtrup (North Rhine-Westphalia)
1332,Oderberg (Brandenburg)
1333,Oebisfelde-Weferlingen (Saxony-Anhalt)
1334,Oederan (Saxony)
1335,Oelde (North Rhine-Westphalia)
1336,Oelsnitz (Saxony)
1337,Oelsnitz/Erzgeb. (Saxony)
1338,Oer-Erkenschwick (North Rhine-Westphalia)
1339,Oerlinghausen (North Rhine-Westphalia)
1340,Oestrich-Winkel (Hesse)
1341,Oettingen in Bayern (Bavaria)
1342,Offenbach am Main (Hesse)
1343,Offenburg (Baden-Württemberg)
1344,Ohrdruf (Thuringia)
1345,Öhringen (Baden-Württemberg)
1346,Olbernhau (Saxony)
1347,Olching (Bavaria)
1348,Oldenburg (Lower Saxony)
1349,Oldenburg in Holstein (Schleswig-Holstein)
1350,Olfen (North Rhine-Westphalia)
1351,Olpe (North Rhine-Westphalia)
1352,Olsberg (North Rhine-Westphalia)
1353,Oppenau (Baden-Württemberg)
1354,Oppenheim (Rhineland-Palatinate)
1355,Oranienbaum-Wörlitz (Saxony-Anhalt)
1356,Oranienburg (Brandenburg)
1357,Orlamünde (Thuringia)
1358,Ornbau (Bavaria)
1359,Ortenberg (Hesse)
1360,Ortrand (Brandenburg)
1361,Oschatz (Saxony)
1362,Oschersleben (Bode) (Saxony-Anhalt)
1363,Osnabrück (Lower Saxony)
1364,Osterburg (Altmark) (Saxony-Anhalt)
1365,Osterburken (Baden-Württemberg)
1366,Osterfeld (Saxony-Anhalt)
1367,Osterhofen (Bavaria)
1368,Osterholz-Scharmbeck (Lower Saxony)
1369,Osterode am Harz (Lower Saxony)
1370,Osterwieck (Saxony-Anhalt)
1371,Ostfildern (Baden-Württemberg)
1372,Ostheim vor der Rhön (Bavaria)
1373,Osthofen (Rhineland-Palatinate)
1374,Östringen (Baden-Württemberg)
1375,Ostritz (Saxony)
1376,Otterberg (Rhineland-Palatinate)
1377,Otterndorf (Lower Saxony)
1378,Ottweiler (Saarland)
1379,Overath (North Rhine-Westphalia)
1380,Owen (Baden-Württemberg)
1381,Paderborn (North Rhine-Westphalia)
1382,Papenburg (Lower Saxony)
1383,Pappenheim (Bavaria)
1384,Parchim (Mecklenburg-Western Pomerania)
1385,Parsberg (Bavaria)
1386,Pasewalk (Mecklenburg-Western Pomerania)
1387,Passau (Bavaria)
1388,Pattensen (Lower Saxony)
1389,Pausa-Mühltroff (Saxony)
1390,Pegau (Saxony)
1391,Pegnitz (Bavaria)
1392,Peine (Lower Saxony)
1393,Peitz (Brandenburg)
1394,Penig (Saxony)
1395,Penkun (Mecklenburg-Western Pomerania)
1396,Penzberg (Bavaria)
1397,Penzlin (Mecklenburg-Western Pomerania)
1398,Perleberg (Brandenburg)
1399,Petershagen (North Rhine-Westphalia)
1400,Pfaffenhofen an der Ilm (Bavaria)
1401,Pfarrkirchen (Bavaria)
1402,Pforzheim (Baden-Württemberg)
1403,Pfreimd (Bavaria)
1404,Pfullendorf (Baden-Württemberg)
1405,Pfullingen (Baden-Württemberg)
1406,Pfungstadt (Hesse)
1407,Philippsburg (Baden-Württemberg)
1408,Pinneberg (Schleswig-Holstein)
1409,Pirmasens (Rhineland-Palatinate)
1410,Pirna (Saxony)
1411,Plattling (Bavaria)
1412,Plau am See (Mecklenburg-Western Pomerania)
1413,Plaue (Thuringia)
1414,Plauen (Saxony)
1415,Plettenberg (North Rhine-Westphalia)
1416,Pleystein (Bavaria)
1417,Plochingen (Baden-Württemberg)
1418,Plön (Schleswig-Holstein)
1419,Pockau-Lengefeld (Saxony)
1420,Pocking (Bavaria)
1421,Pohlheim (Hesse)
1422,Polch (Rhineland-Palatinate)
1423,Porta Westfalica (North Rhine-Westphalia)
1424,Pößneck (Thuringia)
1425,Potsdam (Brandenburg)
1426,Pottenstein (Bavaria)
1427,Preetz (Schleswig-Holstein)
1428,Premnitz (Brandenburg)
1429,Prenzlau (Brandenburg)
1430,Pressath (Bavaria)
1431,Preußisch Oldendorf (North Rhine-Westphalia)
1432,Prichsenstadt (Bavaria)
1433,Pritzwalk (Brandenburg)
1434,Prüm (Rhineland-Palatinate)
1435,Puchheim (Bavaria)
1436,Pulheim (North Rhine-Westphalia)
