,course_type,course_name,course_link,uni_name,uni_city,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type
196,Bachelor's degree,Motion Pictures,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6224/,Hochschule Darmstadt University of Applied Sciences ,Dieburg,none,"German, English",7 semesters,Winter semester,,,
197,Bachelor's degree,Music Production (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7002/,SRH Berlin University of Applied Sciences ,Berlin,"4.500,00",English,7 semesters,Summer semester,,,
198,Bachelor's degree,Nautical Science (Nautik und Seeverkehr),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6918/,Hochschule Emden/Leer - University of Applied Sciences ,Leer (Ostfriesland),none,"German, English",8 semesters,Summer semester,,,
199,Bachelor's degree,Photography (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6216/,SRH Berlin University of Applied Sciences ,Berlin,"4.500,00",English,7 semesters,"Winter semester, Summer semester",,,
200,Bachelor's degree,Physical Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5220/,University of Applied Sciences Ravensburg-Weingarten ,Weingarten,"1.500,00","German, English",7 semesters,Summer semester,,,
201,Bachelor's degree,Political Science (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6962/,Leuphana University Lüneburg ,Lüneburg,none,English,6 semesters,Winter semester,,,
202,Bachelor's degree,"Politics, Philosophy and Economics (BA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5645/,Karlshochschule International University ,Karlsruhe,"4.140,00",English,6 semesters,Winter semester,,,
203,Bachelor's degree,Popular Music (BMus),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6220/,SRH Berlin University of Applied Sciences ,Berlin,"4.500,00",English,7 semesters,Summer semester,,,
204,Bachelor's degree,Print Media Technologies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6156/,Hochschule der Medien ,Stuttgart,varied,English,7 semesters,Winter semester,,,
205,Bachelor's degree,Psychology (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6961/,Leuphana University Lüneburg ,Lüneburg,none,English,6 semesters,Winter semester,,,
206,Bachelor's degree,Science & Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4754/,Fulda University of Applied Sciences ,Fulda,none,"German, English",8 semesters,Winter semester,,,
207,Bachelor's degree,"Social Sciences (German-French), BA",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3835/,University of Stuttgart ,Stuttgart,varied,"German, French, English",6 semesters,Winter semester,,,
208,Bachelor's degree,Structural Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6153/,University of Duisburg-Essen ,Duisburg,none,"German, English",6 semesters,Winter semester,,,
209,Bachelor's degree,Studium Individuale (Bachelor's),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6308/,Leuphana University Lüneburg ,Lüneburg,none,English,6 semesters,Winter semester,,,
210,Bachelor's degree,"Supply Chain Management (BSc), full-time",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6425/,SRH University of Applied Sciences Hamm ,Hamm,"4.080,00",English,6 semesters,Winter semester,,,
211,Bachelor's degree,"Supply Chain Management (BSc), full-time",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6948/,SRH University of Applied Sciences Hamm ,Leverkusen,"4.080,00",English,6 semesters,Winter semester,,,
212,Bachelor's degree,"Sustainable Agriculture, BSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4212/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,
213,Bachelor's degree,Sustainable Business and Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4705/,Trier University of Applied Sciences ,Hoppstädten-Weiersbach,none,English,6 semesters,Winter semester,,,
214,Bachelor's degree,Sustainable Energy Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5219/,Hochschule Emden/Leer - University of Applied Sciences ,Emden,none,"German, English",7 semesters,Winter semester,,,
215,Bachelor's degree,"Textile and Clothing Management, Bachelor of Science",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4309/,Hochschule Niederrhein - University of Applied Sciences ,Krefeld,none,English,7 semesters,Winter semester,,,
216,Bachelor's degree,Transatlantic Double Bachelor in Materials Science and Mechanical Engineering (Atlantis),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6096/,Saarland University ,Saarbrücken,,"German, English",8 semesters,"Winter semester, Summer semester",,,
217,Bachelor's degree,World Literature (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5208/,University of Göttingen ,Göttingen,none,"German, English",6 semesters,Winter semester,,,
