,course_type,course_name,course_link,uni_name,uni_city,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type
46,Master's degree,Autonomous Systems (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/,Hochschule Bonn-Rhein-Sieg ,Sankt Augustin,none,English,4 semesters,"Winter semester, Summer semester",,,
47,Master's degree,"Behaviour: From Neural Mechanisms to Evolution, MSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3958/,Bielefeld University ,Bielefeld,none,English,4 semesters,Winter semester,,,
48,Master's degree,Behavioural Neurobiology / Neuroethology; Master of Science Biology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4637/,Julius-Maximilians-Universität Würzburg ,Würzburg,none,English,4 semesters,"Winter semester, Summer semester",,,
49,Master's degree,Berlin MBA (full-time),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3625/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,"9.900,00",English,2 semesters,Winter semester,,,
50,Master's degree,Berlin MBA (part-time),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6995/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,"4.950,00",English,4 semesters,Winter semester,,,
51,Master's degree,Bi-National Master in Philosophy (Bielefeld-Bologna),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6389/,Bielefeld University ,Bielefeld,none,"German, English, Italian",4 semesters,"Winter semester, Summer semester",,,
52,Master's degree,Big Data and Business Analytics (MSc) – full-time,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4886/,SRH University Heidelberg ,Heidelberg,"4.740,00",English,4 semesters,"Winter semester, Summer semester",,,
53,Master's degree,Big Data and Business Analytics (MSc) – part-time,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4884/,SRH University Heidelberg ,Heidelberg,"4.320,00",English,4 semesters,"Winter semester, Summer semester",,,
54,Master's degree,Binational Double Master's in Biomedical Sciences (IMBS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4590/,University of Freiburg ,Freiburg im Breisgau,,English,4 semesters,Winter semester,,,
55,Master's degree,Binational Master's Degree in History - TübAix,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4747/,University of Tübingen ,Tübingen,none,"German, French",4 semesters,Winter semester,,,
56,Master's degree,Binational Master's in History (Bielefeld-Bologna),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6890/,Bielefeld University ,Bielefeld,none,"German, English, Italian",4 semesters,Winter semester,,,
57,Master's degree,Binational Master's in History (German-French) — Bielefeld Paris Geschichte (BiPaG) MA,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7143/,Bielefeld University ,Bielefeld,none,"German, French",4 semesters,Winter semester,,,
58,Master's degree,Bioanalytical Chemistry & Pharmaceutical Analysis (full-time/part-time) (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5691/,Hochschule Fresenius - University of Applied Sciences ,Idstein,"4.140,00",English,2 semesters,Winter semester,,,
59,Master's degree,Biochemistry,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6203/,Technische Universität Dresden ,Dresden,none,"German, English",4 semesters,Winter semester,,,
60,Master's degree,Biochemistry (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4503/,University of Tübingen ,Tübingen,varied,English,4 semesters,"Winter semester, Summer semester",,,
61,Master's degree,Biochemistry and Biophysics - binational,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5302/,University of Freiburg ,Freiburg im Breisgau,none,"German, English, French",4 semesters,Winter semester,,,
62,Master's degree,Biochemistry and Molecular Biology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4338/,University of Potsdam ,Potsdam,none,English,4 semesters,"Winter semester, Summer semester",,,
63,Master's degree,Biochemistry and Molecular Biology (BMB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3900/,University of Bremen ,Bremen,none,English,4 semesters,Winter semester,,,
64,Master's degree,Biodiversity and Collection Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4801/,Technische Universität Dresden ,Zittau,none,English,4 semesters,Winter semester,,,
65,Master's degree,"Biodiversity, Ecology and Evolution (MSc)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3671/,University of Göttingen ,Göttingen,none,English,4 semesters,Winter semester,,,
66,Master's degree,Bioeconomy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4476/,University of Hohenheim ,Stuttgart,varied,English,4 semesters,Winter semester,,,
67,Master's degree,BioGeoSciences (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6911/,University of Koblenz-Landau ,Koblenz,none,English,4 semesters,"Winter semester, Summer semester",,,
68,Master's degree,Bioinformatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5373/,University of Potsdam ,Potsdam,none,English,4 semesters,Winter semester,,,
69,Master's degree,Bioinformatics (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6119/,University of Tübingen ,Tübingen,"1.500,00",English,4 semesters,"Winter semester, Summer semester",,,
70,Master's degree,"Biological Resources, MSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4619/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,3 semesters,"Winter semester, Summer semester",,,
71,Master's degree,Biological Sciences (Master of Science),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4745/,University of Konstanz ,Konstanz,varied,English,4 semesters,"Winter semester, Summer semester",,,
72,Master's degree,Biology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5294/,Universität Regensburg ,Regensburg,none,English,4 semesters,"Winter semester, Summer semester",,,
73,Master's degree,Biomedical Computing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4082/,Technische Universität München ,Garching b. München,none,English,4 semesters,Winter semester,,,
74,Master's degree,Biomedical Engineering (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4025/,Hamburg University of Applied Sciences ,Hamburg,none,English,3 semesters,"Winter semester, Summer semester",,,
75,Master's degree,"Biomedical Engineering, Master of Science",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4162/,Technische Hochschule Lübeck ,Lübeck,none,English,4 semesters,Winter semester,,,
76,Master's degree,Biomedical Neuroscience (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5230/,Technische Universität München ,München,none,English,4 semesters,Winter semester,,,
77,Master's degree,Biomedical Sciences (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3778/,Hochschule Bonn-Rhein-Sieg ,Rheinbach,none,English,4 semesters,Winter semester,,,
78,Master's degree,Biomedical Systems Engineering – Master's Study Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5228/,RWTH Aachen University ,Aachen,none,English,4 semesters,"Winter semester, Summer semester",,,
79,Master's degree,Bionics MSc,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4224/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,3 semesters,"Winter semester, Summer semester",,,
80,Master's degree,"Biophysics, Master of Science",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4645/,Julius-Maximilians-Universität Würzburg ,Würzburg,none,English,4 semesters,"Winter semester, Summer semester",,,
81,Master's degree,Biotechnology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3888/,Brandenburg University of Technology Cottbus-Senftenberg ,Senftenberg,none,English,3 semesters,"Winter semester, Summer semester",,,
82,Master's degree,Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Astrophysics (Bonn),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3843/,University of Bonn ,Bonn,none,English,4 semesters,Winter semester,,,
83,Master's degree,Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Physics (Bonn),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3842/,University of Bonn ,Bonn,none,English,4 semesters,Winter semester,,,
84,Master's degree,Bonn-Cologne Graduate School of Physics and Astronomy: MSc in Physics (Cologne),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4023/,University of Cologne ,Köln,none,English,4 semesters,"Winter semester, Summer semester",,,
85,Master's degree,Books — Literature — Culture — Language: National and Transnational Studies (MA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4097/,University of Münster ,Münster,none,English,4 semesters,Winter semester,,,
